x_utm,y_utm,z_utm,aCT_RP_Res_nT,Std_dev[nT]
368311.65,2532534.8,1307.116802,178.3122825,0.1
368262.11,2532523.39,1306.722058,247.3974374,0.1
368230.19,2532487.13,1306.301519,269.6416572,0.1
368271.52,2532461.73,1306.269789,239.2255421,0.1
368299.99,2532420.19,1306.463287,179.4774354,0.1
368287.55,2532371.13,1306.219901,146.7648535,0.1
368272.76,2532322.32,1305.832756,81.48568304,0.1
368239.07,2532222.96,1303.852445,-87.9521678,0.1
368224.58,2532173.15,1304.316827,-176.6665859,0.1
368217.89,2532123.49,1306.848074,-265.9505371,0.1
368212.95,2532074.6,1312.330424,-348.0153229,0.1
368202.26,2532025.31,1320.317871,-414.1931243,0.1
368198.01,2531973.85,1331.751303,-383.1843746,0.1
368239.7,2531942.27,1342.051698,-276.8140835,0.1
368264.72,2531894.1,1357.989653,-166.798355,0.1
368452.39,2532251.88,1304.608844,85.43391846,0.1
368466.64,2532203.04,1304.713803,36.24092934,0.1
368465.48,2532152.56,1305.790574,-1.375371619,0.1
368434.06,2532113.41,1309.999172,-20.59993281,0.1
368386.19,2532094.67,1311.893138,-63.05422061,0.1
368335.79,2532091.9,1311.950123,-140.0560127,0.1
368286.62,2532087.46,1311.802211,-232.513526,0.1
368237.54,2532083.01,1311.428191,-312.8779815,0.1
368187.45,2532080.24,1311.598227,-351.9395245,0.1
368139.2,2532075.79,1313.164347,-361.6548776,0.1
368089.93,2532072.57,1315.567245,-383.5856761,0.1
368039.3,2532067.7,1319.973143,-442.8962153,0.1
367990.01,2532072.89,1323.936276,-450.9643118,0.1
367939.41,2532081.97,1326.773604,-374.9599833,0.1
367889.35,2532082.73,1331.538485,-186.9826737,0.1
367839.34,2532076.64,1337.067443,9.07320717,0.1
367788.12,2532073.1,1341.666732,126.3687115,0.1
367740.87,2532089.91,1342.793459,75.16995431,0.1
367693.5,2532105.04,1343.542952,-13.86323247,0.1
367714.71,2532091.57,1344.340412,32.02674813,0.1
367762.62,2532079.41,1342.589104,106.7566398,0.1
367811.22,2532063.71,1341.549828,108.132861,0.1
367234,2531721,1357.910803,0.490310787,0.1
367234,2531821,1351.178492,-1.310581986,0.1
367234,2531921,1346.079275,-3.420921798,0.1
367234,2532021,1343.783974,-6.360398928,0.1
367234,2532121,1343.308436,-9.157145103,0.1
367234,2532221,1341.98305,-11.00505358,0.1
367234,2532321,1344.334164,-13.61414474,0.1
367234,2532421,1346.244208,-18.60089759,0.1
367234,2532521,1347.218451,-35.8361341,0.1
367234,2532621,1348.401154,-40.09440227,0.1
367234,2532721,1350.874669,-28.35473293,0.1
367234,2532821,1354.574715,-25.86787563,0.1
367234,2532921,1359.523954,-14.32921879,0.1
367234,2533021,1369.99226,-12.17178864,0.1
367234,2533121,1394.807718,-11.03770016,0.1
367234,2533221,1437.673111,-8.308096517,0.1
367334,2531721,1362.886019,0.93294737,0.1
367334,2531821,1353.877097,-1.173594725,0.1
367334,2531921,1347.66186,-3.667475153,0.1
367334,2532021,1345.075927,-6.724895242,0.1
367334,2532121,1344.461875,-10.0386072,0.1
367334,2532221,1343.660555,-12.20700527,0.1
367334,2532321,1344.349576,-21.70817386,0.1
367334,2532421,1346.192062,-34.06980108,0.1
367334,2532521,1347.809481,76.24107465,0.1
367334,2532621,1350.001941,171.7453736,0.1
367334,2532721,1353.407634,64.50817288,0.1
367334,2532821,1358.168749,-24.9528889,0.1
367334,2532921,1365.210477,-23.33233192,0.1
367334,2533021,1377.447494,-17.64146688,0.1
367334,2533121,1406.379893,-13.66759102,0.1
367334,2533221,1455.159589,-10.44839605,0.1
367434,2531721,1366.721515,1.614048707,0.1
367434,2531821,1356.326977,-0.916544817,0.1
367434,2531921,1349.263792,-3.307863797,0.1
367434,2532021,1345.724474,-5.833831799,0.1
367434,2532121,1344.223108,-10.10959627,0.1
367434,2532221,1343.800406,-13.35849155,0.1
367434,2532321,1343.232863,-32.26351088,0.1
367434,2532421,1343.915372,-39.96311604,0.1
367434,2532521,1345.457628,255.4498876,0.1
367434,2532721,1352.886131,187.5104272,0.1
367434,2532821,1359.090994,-23.87759653,0.1
367434,2532921,1369.306822,-34.36550095,0.1
367434,2533021,1385.767356,-23.15982357,0.1
367434,2533121,1419.342364,-16.22684342,0.1
367434,2533221,1470.319448,-12.52747672,0.1
367534,2531721,1371.747036,2.405685015,0.1
367534,2531821,1359.978477,-0.118735557,0.1
367534,2531921,1351.56908,-1.875116222,0.1
367534,2532021,1346.570735,-15.07201601,0.1
367534,2532121,1343.389584,-40.20374149,0.1
367534,2532221,1339.787623,-36.68787276,0.1
367534,2532321,1335.1988,-30.83762594,0.1
367534,2532421,1334.764424,-2.931589175,0.1
367534,2532521,1336.657462,418.2504188,0.1
367534,2532621,1340.811246,665.941186,0.1
367534,2532721,1346.942517,239.1868362,0.1
367534,2532821,1356.730431,-26.15664042,0.1
367534,2532921,1372.273686,-37.22724807,0.1
367534,2533021,1397.304485,-26.22611341,0.1
367534,2533121,1436.624112,-18.48837522,0.1
367534,2533221,1486.474643,-14.48759204,0.1
367634,2531721,1379.446683,3.718762613,0.1
367634,2531821,1364.898158,1.747544038,0.1
367634,2531921,1354.970057,10.75128866,0.1
367634,2532021,1349.259161,-5.41752139,0.1
367634,2532121,1342.655891,-86.80093912,0.1
367634,2532221,1331.549892,-79.78644343,0.1
367634,2532321,1321.603224,-22.16360568,0.1
367634,2532421,1320.100404,68.66345713,0.1
367634,2532621,1329.859783,456.7859085,0.1
367634,2532721,1339.169315,152.5018628,0.1
367634,2532821,1355.786483,-33.11608015,0.1
367634,2532921,1379.262845,-35.06995868,0.1
367634,2533021,1412.110633,-26.98944656,0.1
367634,2533121,1454.635912,-20.53769063,0.1
367634,2533221,1499.824953,-16.3838403,0.1
367734,2531721,1389.707131,4.943440606,0.1
367734,2531821,1368.850128,9.523993207,0.1
367734,2531921,1357.115775,52.75319594,0.1
367734,2532021,1350.537459,103.4339832,0.1
367734,2532221,1320.750629,-27.26366105,0.1
367734,2532321,1310.385229,2.599653183,0.1
367734,2532421,1310.801655,68.17341993,0.1
367734,2532621,1322.525585,139.2270119,0.1
367734,2532721,1336.007492,31.25539696,0.1
367734,2532821,1361.008857,-40.70887653,0.1
367734,2532921,1390.207218,-35.6675197,0.1
367734,2533021,1421.057892,-27.68540022,0.1
367734,2533121,1459.965683,-22.07689082,0.1
367734,2533221,1497.485495,-17.87851423,0.1
367834,2531721,1401.727023,8.41051977,0.1
367834,2531821,1371.682233,6.838656089,0.1
367834,2531921,1357.126583,8.072776273,0.1
367834,2532021,1347.029179,31.59111146,0.1
367834,2532121,1329.033818,-1.180523325,0.1
367834,2532221,1311.054506,-36.10263617,0.1
367834,2532421,1309.286482,53.44982267,0.1
367834,2532521,1313.456066,42.88852287,0.1
367834,2532621,1317.417293,-19.15974475,0.1
367834,2532721,1331.25532,-19.7304424,0.1
367834,2532821,1359.652518,-32.49399597,0.1
367834,2532921,1391.743954,-32.09031618,0.1
367834,2533021,1418.113952,-28.1758046,0.1
367834,2533121,1441.860218,-23.1079591,0.1
367834,2533221,1474.35005,-18.89250669,0.1
367934,2531721,1414.148481,11.65252419,0.1
367934,2531821,1378.157262,16.78209486,0.1
367934,2531921,1359.02228,-136.3598009,0.1
367934,2532021,1341.8042,-359.5101201,0.1
367934,2532121,1319.364932,-286.5159472,0.1
367934,2532221,1305.70134,-154.0826899,0.1
367934,2532421,1306.545994,61.93316108,0.1
367934,2532621,1314.008801,50.6661401,0.1
367934,2532721,1324.688499,31.06525797,0.1
367934,2532821,1342.33051,-8.894728978,0.1
367934,2532921,1365.23733,-31.04147588,0.1
367934,2533021,1396.222076,-30.0421109,0.1
367934,2533121,1431.454475,-24.30642096,0.1
367934,2533221,1469.237679,-19.66298192,0.1
368034,2531721,1424.949916,13.90871805,0.1
368034,2531821,1384.304186,9.660446801,0.1
368034,2531921,1355.460171,-206.1132232,0.1
368034,2532021,1331.10741,-453.8614471,0.1
368034,2532121,1311.059581,-321.7816184,0.1
368034,2532221,1303.75015,-141.5255816,0.1
368034,2532321,1304.686189,-39.20576817,0.1
368034,2532521,1306.595898,174.6034748,0.1
368034,2532721,1318.871122,60.09161446,0.1
368034,2532821,1329.119232,-13.9907502,0.1
368034,2532921,1350.034284,-34.31070185,0.1
368034,2533021,1389.999815,-32.56901975,0.1
368034,2533121,1442.1401,-25.33034368,0.1
368034,2533221,1479.023459,-19.90844548,0.1
368134,2531721,1433.506996,7.08229177,0.1
368134,2531821,1387.607895,-17.09881575,0.1
368134,2531921,1349.142009,-236.8858058,0.1
368134,2532021,1322.530413,-422.044192,0.1
368134,2532121,1307.946767,-252.3432948,0.1
368134,2532221,1304.243422,-89.02465646,0.1
368134,2532321,1304.697567,8.832501989,0.1
368134,2532621,1309.063609,120.4447833,0.1
368134,2532721,1313.512032,18.46493956,0.1
368134,2532821,1321.417188,-27.05309118,0.1
368134,2532921,1346.505945,-32.58809884,0.1
368134,2533021,1394.401542,-25.91333902,0.1
368134,2533121,1445.708099,-20.01276225,0.1
368134,2533221,1473.439761,-5.210896156,0.1
368234,2531721,1423.651218,-78.10353994,0.1
368234,2531821,1384.297225,-241.2439783,0.1
368234,2531921,1348.268633,-364.0090379,0.1
368234,2532021,1322.058567,-92.14726409,0.1
368234,2532221,1303.833894,257.3102109,0.1
368234,2532621,1308.164204,240.9696283,0.1
368234,2532721,1309.922394,120.49432,0.1
368234,2532821,1316.862233,-5.709462785,0.1
368234,2532921,1346.661109,-26.08431902,0.1
368234,2533021,1398.417382,-25.12183971,0.1
368234,2533121,1439.102045,-19.7187127,0.1
368234,2533221,1451.565958,-1.772539668,0.1
368334,2531721,1416.988196,-35.68772863,0.1
368334,2531821,1383.991541,-95.58379794,0.1
368334,2531921,1356.83745,-141.7810078,0.1
368334,2532021,1330.143141,-3.351053625,0.1
368334,2532221,1304.288694,111.4132912,0.1
368334,2532321,1305.795561,125.853516,0.1
368334,2532421,1306.99677,138.9461843,0.1
368334,2532521,1307.227412,249.9979346,0.1
368334,2532721,1308.958521,47.86863461,0.1
368334,2532921,1348.82553,-8.872018256,0.1
368334,2533021,1394.756977,-23.50077468,0.1
368334,2533121,1420.740712,-19.36452043,0.1
368334,2533221,1422.912441,4.467582957,0.1
368434,2531721,1423.393241,10.17883231,0.1
368434,2531821,1388.012958,10.75098,0.1
368434,2531921,1363.5956,3.465622481,0.1
368434,2532021,1335.676018,-18.72438091,0.1
368434,2532121,1308.742541,55.6460314,0.1
368434,2532221,1304.528778,110.3043311,0.1
368434,2532321,1305.994656,10.5513998,0.1
368434,2532421,1308.140653,5.985020187,0.1
368434,2532521,1308.662577,99.84123968,0.1
368434,2532621,1310.775163,174.7525849,0.1
368434,2532721,1312.613202,62.47904291,0.1
368434,2532921,1348.09565,0.364290146,0.1
368434,2533021,1380.561593,-21.78309902,0.1
368434,2533121,1394.480987,-18.27586057,0.1
368434,2533221,1395.458741,1.965131205,0.1
368534,2531721,1432.965278,2.120408867,0.1
368534,2531821,1394.056473,5.335920757,0.1
368534,2531921,1363.895101,-2.775178637,0.1
368534,2532021,1333.437608,-13.43336775,0.1
368534,2532121,1308.608822,31.38017949,0.1
368534,2532221,1304.52918,59.27799266,0.1
368534,2532321,1305.230352,2.011421312,0.1
368534,2532421,1308.597963,-35.33955769,0.1
368534,2532521,1309.998514,-8.004923051,0.1
368534,2532621,1312.995146,48.0487407,0.1
368534,2532721,1316.182695,49.03948164,0.1
368534,2532821,1323.506247,31.82572514,0.1
368534,2532921,1340.748528,-5.136144087,0.1
368534,2533021,1359.45691,-20.21785485,0.1
368534,2533121,1367.556769,-16.56566423,0.1
368534,2533221,1375.440097,-0.906101322,0.1
368634,2531721,1434.14637,-3.429737766,0.1
368634,2531821,1401.773187,-5.244902555,0.1
368634,2531921,1366.213822,-11.23966795,0.1
368634,2532021,1331.383972,-16.66844702,0.1
368634,2532121,1311.041901,14.07885263,0.1
368634,2532221,1307.083582,34.23114025,0.1
368634,2532321,1305.117931,-0.71437681,0.1
368634,2532421,1307.835965,-34.15270671,0.1
368634,2532521,1309.51345,-32.07079757,0.1
368634,2532621,1313.671841,-11.78536906,0.1
368634,2532721,1320.487438,-3.695780239,0.1
368634,2532821,1326.698537,-6.011155679,0.1
368634,2532921,1335.238795,-14.93614594,0.1
368634,2533021,1343.418056,-18.4342071,0.1
368634,2533121,1350.678384,-14.82270307,0.1
368634,2533221,1364.69363,-2.721203283,0.1
368734,2531721,1421.193338,-4.913488072,0.1
368734,2531821,1406.009371,-8.330732627,0.1
368734,2531921,1375.296403,-11.0158638,0.1
368734,2532021,1336.977816,-7.101822696,0.1
368734,2532121,1316.419326,23.6144623,0.1
368734,2532221,1312.697078,38.17857816,0.1
368734,2532321,1309.96337,1.840970295,0.1
368734,2532421,1308.537266,-24.02327951,0.1
368734,2532521,1311.947925,-25.08129313,0.1
368734,2532621,1322.564691,-25.94886544,0.1
368734,2532721,1335.51868,-24.22021123,0.1
368734,2532821,1341.968915,-22.50532108,0.1
368734,2532921,1345.295128,-18.77295218,0.1
368734,2533021,1349.316196,-16.04215166,0.1
368734,2533121,1353.158686,-12.77435761,0.1
368734,2533221,1359.687749,-4.292223409,0.1
368834,2531721,1399.857927,-6.117061533,0.1
368834,2531821,1396.792381,-13.15864862,0.1
368834,2531921,1380.223027,-8.683304557,0.1
368834,2532021,1346.906176,23.72547903,0.1
368834,2532121,1323.670731,51.22320163,0.1
368834,2532321,1317.040804,1.099404597,0.1
368834,2532421,1319.820462,-21.55168733,0.1
368834,2532521,1331.480577,-21.85214524,0.1
368834,2532621,1347.770899,-21.47838954,0.1
368834,2532721,1357.531239,-20.93841524,0.1
368834,2532821,1357.252428,-18.79859193,0.1
368834,2532921,1355.604627,-16.35788266,0.1
368834,2533021,1357.571307,-13.64460151,0.1
368834,2533121,1359.529976,-11.08451193,0.1
368834,2533221,1363.042103,-5.672779606,0.1
368934,2531721,1387.357345,-7.784299491,0.1
