 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   225.000,    775.000,     0.010, 0.1203E+01,  0.100
   225.000,    825.000,     0.010, 0.1092E+01,  0.100
   225.000,    875.000,     0.010, 0.7824E+00,  0.100
   225.000,    925.000,     0.010, 0.7130E+00,  0.100
   225.000,    975.000,     0.010, 0.5190E+00,  0.100
   275.000,     25.000,     0.010, 0.5881E+00,  0.100
   275.000,     75.000,     0.010, 0.7442E+00,  0.100
   275.000,    125.000,     0.010, 0.1213E+01,  0.100
   275.000,    175.000,     0.010, 0.1345E+01,  0.100
   275.000,    225.000,     0.010, 0.1714E+01,  0.100
   275.000,    275.000,     0.010, 0.1740E+01,  0.100
   275.000,    325.000,     0.010, 0.1729E+01,  0.100
   275.000,    375.000,     0.010, 0.1542E+01,  0.100
   275.000,    425.000,     0.010, 0.1568E+01,  0.100
   275.000,    475.000,     0.010, 0.1242E+01,  0.100
   275.000,    525.000,     0.010, 0.1334E+01,  0.100
   275.000,    575.000,     0.010, 0.1162E+01,  0.100
   275.000,    625.000,     0.010, 0.1232E+01,  0.100
   275.000,    675.000,     0.010, 0.1029E+01,  0.100
   275.000,    725.000,     0.010, 0.1295E+01,  0.100
   275.000,    775.000,     0.010, 0.9729E+00,  0.100
   275.000,    825.000,     0.010, 0.1176E+01,  0.100
   275.000,    875.000,     0.010, 0.7223E+00,  0.100
   275.000,    925.000,     0.010, 0.8180E+00,  0.100
   275.000,    975.000,     0.010, 0.7269E+00,  0.100
   325.000,     25.000,     0.010, 0.5868E+00,  0.100
   325.000,     75.000,     0.010, 0.7534E+00,  0.100
   325.000,    125.000,     0.010, 0.1279E+01,  0.100
   325.000,    175.000,     0.010, 0.1444E+01,  0.100
   325.000,    225.000,     0.010, 0.1455E+01,  0.100
   325.000,    275.000,     0.010, 0.1707E+01,  0.100
   325.000,    325.000,     0.010, 0.1554E+01,  0.100
   325.000,    375.000,     0.010, 0.1435E+01,  0.100
   325.000,    425.000,     0.010, 0.1582E+01,  0.100
   325.000,    475.000,     0.010, 0.1393E+01,  0.100
   325.000,    525.000,     0.010, 0.1382E+01,  0.100
   325.000,    575.000,     0.010, 0.1086E+01,  0.100
   325.000,    625.000,     0.010, 0.1325E+01,  0.100
