x_utm,y_utm,z_utm,aCB_Res_mGal,Std_dev[mGal]
368466.64,2532203.04,1304.713803,0.017126995,0.1
368465.48,2532152.56,1305.790574,0.4488472,0.1
368434.06,2532113.41,1309.999172,0.472289767,0.1
368386.19,2532094.67,1311.893138,0.680586221,0.1
368335.79,2532091.9,1311.950123,1.13878247,0.1
368286.62,2532087.46,1311.802211,1.700115505,0.1
368237.54,2532083.01,1311.428191,2.22926367,0.1
368187.45,2532080.24,1311.598227,2.468622105,0.1
368139.2,2532075.79,1313.164347,2.418663627,0.1
368089.93,2532072.57,1315.567245,2.357214217,0.1
368039.3,2532067.7,1319.973143,2.494785082,0.1
367990.01,2532072.89,1323.936276,2.484585062,0.1
367939.41,2532081.97,1326.773604,2.456979883,0.1
367889.35,2532082.73,1331.538485,2.217217949,0.1
367839.34,2532076.64,1337.067443,1.754553748,0.1
367788.12,2532073.1,1341.666732,1.292643106,0.1
367740.87,2532089.91,1342.793459,0.957292638,0.1
367693.5,2532105.04,1343.542952,0.775461875,0.1
367714.71,2532091.57,1344.340412,0.843857047,0.1
367762.62,2532079.41,1342.589104,1.094918614,0.1
367811.22,2532063.71,1341.549828,1.497655629,0.1
367234,2531721,1357.910803,0.566910902,0.1
367234,2531821,1351.178492,0.622903138,0.1
367234,2531921,1346.079275,0.611832217,0.1
367234,2532021,1343.783974,0.60428377,0.1
367234,2532121,1343.308436,0.677529528,0.1
367234,2532221,1341.98305,0.763942209,0.1
367234,2532321,1344.334164,0.790412046,0.1
367234,2532421,1346.244208,0.693479899,0.1
367234,2532521,1347.218451,0.621545875,0.1
367234,2532621,1348.401154,0.545501237,0.1
367234,2532721,1350.874669,0.373736732,0.1
367234,2532821,1354.574715,0.040480322,0.1
367234,2532921,1359.523954,-0.232387823,0.1
367234,2533021,1369.99226,-0.236253737,0.1
367234,2533121,1394.807718,-0.548843112,0.1
367234,2533221,1437.673111,-1.307008055,0.1
367334,2531721,1362.886019,0.472550181,0.1
367334,2531821,1353.877097,0.473392943,0.1
367334,2531921,1347.66186,0.546113345,0.1
367334,2532021,1345.075927,0.641691083,0.1
367334,2532121,1344.461875,0.679533111,0.1
367334,2532221,1343.660555,0.711145161,0.1
367334,2532321,1344.349576,0.734910649,0.1
367334,2532421,1346.192062,0.7877309,0.1
367334,2532521,1347.809481,0.705630753,0.1
367334,2532621,1350.001941,0.576603195,0.1
367334,2532721,1353.407634,0.465010149,0.1
367334,2532821,1358.168749,0.205786333,0.1
367334,2532921,1365.210477,-0.101596528,0.1
367334,2533021,1377.447494,-0.403320754,0.1
367334,2533121,1406.379893,-0.752317041,0.1
367334,2533221,1455.159589,-1.290156466,0.1
367434,2531721,1366.721515,0.362815846,0.1
367434,2531821,1356.326977,0.336005058,0.1
367434,2531921,1349.263792,0.469679642,0.1
367434,2532021,1345.724474,0.641581078,0.1
367434,2532121,1344.223108,0.746346078,0.1
367434,2532221,1343.800406,0.825698631,0.1
367434,2532321,1343.232863,0.90137872,0.1
367434,2532421,1343.915372,0.954238197,0.1
367434,2532521,1345.457628,0.766126534,0.1
367434,2532721,1352.886131,0.401626707,0.1
367434,2532821,1359.090994,0.111528367,0.1
367434,2532921,1369.306822,-0.263488287,0.1
367434,2533021,1385.767356,-0.537126716,0.1
367434,2533121,1419.342364,-0.768550042,0.1
367434,2533221,1470.319448,-1.095141282,0.1
367534,2531721,1371.747036,0.060928167,0.1
