x_m,y_m,z_m,gv_mGal,stdev
542168,2105397,4006.487054,-215.5398556,1
542168,2106397,3914.637595,-215.5296096,1
542168,2107397,3685.351717,-215.0180075,1
542168,2108397,3480.124555,-216.1802041,1
542168,2109397,3369.146589,-219.2214106,1
542168,2110397,3357.690042,-220.3601848,1
542168,2111397,3290.464806,-223.992911,1
543168,2092397,2406.06324,-170.4330384,1
543168,2093397,2505.034053,-174.2252033,1
543168,2094397,2579.224415,-178.4601377,1
543168,2095397,2671.284692,-182.112127,1
543168,2096397,2783.228928,-187.2046673,1
543168,2097397,2899.651988,-193.2073436,1
543168,2098397,3019.777299,-194.9020298,1
543168,2099397,3074.164316,-197.5478462,1
543168,2100397,3222.421193,-201.655116,1
543168,2101397,3385.159786,-204.1625176,1
543168,2102397,3532.017461,-205.142612,1
543168,2103397,3655.114716,-207.0770044,1
543168,2104397,3752.454107,-208.687248,1
543168,2105397,3794.898902,-210.5189211,1
543168,2106397,3698.267735,-212.4397362,1
543168,2107397,3482.238978,-214.7975452,1
543168,2108397,3348.069369,-215.9783481,1
543168,2109397,3270.088396,-218.8921583,1
543168,2110397,3217.563528,-220.4506181,1
543168,2111397,3195.931458,-223.7855119,1
544168,2092397,2387.322316,-170.9079338,1
544168,2093397,2430.014951,-172.1183446,1
544168,2094397,2541.462387,-177.1692885,1
544168,2095397,2561.225022,-178.6016627,1
544168,2096397,2717.230159,-184.259313,1
544168,2097397,2785.946359,-187.2995706,1
544168,2098397,2846.585044,-193.5762205,1
544168,2099397,2951.313895,-197.2121603,1
544168,2100397,3081.481595,-198.6378753,1
544168,2101397,3141.149993,-201.935609,1
544168,2102397,3303.365106,-203.1742837,1
544168,2103397,3391.583302,-204.7496738,1
544168,2104397,3497.933649,-206.9782791,1
544168,2105397,3440.455341,-208.3765085,1
544168,2106397,3376.370191,-212.2853283,1
544168,2107397,3243.825379,-214.9173049,1
544168,2108397,3196.525644,-216.9794051,1
544168,2109397,3130.95266,-219.9677029,1
544168,2110397,3177.953477,-221.8331296,1
544168,2111397,3128.88221,-225.1374917,1
545168,2092397,2299.139671,-168.9602407,1
545168,2093397,2415.1995,-174.0672535,1
545168,2094397,2401.87002,-174.8221207,1
545168,2095397,2462.177522,-177.5523657,1
545168,2096397,2576.197629,-180.5956902,1
545168,2097397,2603.546325,-182.9593312,1
545168,2098397,2686.615593,-188.6010064,1
545168,2099397,2814.253254,-194.377545,1
545168,2100397,2901.922454,-198.2068073,1
545168,2101397,3072.183984,-201.1455573,1
545168,2102397,3128.536685,-202.3941181,1
545168,2103397,3177.237228,-203.611117,1
545168,2104397,3220.128278,-205.4917642,1
545168,2105397,3212.174241,-208.1549665,1
545168,2106397,3189.731749,-211.5738319,1
545168,2107397,3080.9379,-216.8106504,1
545168,2108397,3047.444371,-218.0705383,1
545168,2109397,3024.923741,-221.6135177,1
545168,2110397,3003.949462,-222.8783248,1
545168,2111397,3002.515792,-226.2539456,1
546168,2092397,2221.549261,-167.6068566,1
546168,2093397,2241.935151,-170.1052072,1
546168,2094397,2307.988654,-172.9760174,1
546168,2095397,2388.524148,-175.9443166,1
546168,2096397,2461.156884,-178.7025218,1
546168,2097397,2523.481207,-182.3299016,1
546168,2098397,2597.540882,-185.6124188,1
546168,2099397,2683.47544,-189.3508046,1
546168,2100397,2796.174251,-194.0554208,1
546168,2101397,2895.575643,-200.6784712,1
546168,2102397,2974.366061,-203.351794,1
546168,2103397,3029.06547,-203.6592682,1
546168,2104397,3033.278433,-207.1112652,1
546168,2105397,3057.159251,-209.6957378,1
546168,2106397,3086.740174,-211.669425,1
546168,2107397,3011.563581,-216.5151544,1
546168,2108397,2939.023954,-220.676733,1
546168,2109397,2934.661745,-223.3045987,1
546168,2110397,2915.253396,-224.8601806,1
546168,2111397,2949.343847,-228.861979,1
547168,2092397,2147.032465,-167.1928528,1
547168,2093397,2193.940964,-168.805587,1
547168,2094397,2290.493156,-172.9019953,1
547168,2095397,2344.478199,-174.9634201,1
547168,2096397,2401.257132,-177.8554024,1
547168,2097397,2466.173092,-180.9722393,1
547168,2098397,2532.311971,-183.8344027,1
547168,2099397,2583.321296,-186.8776988,1
547168,2100397,2669.85566,-190.5640382,1
547168,2101397,2775.928847,-195.1025459,1
547168,2102397,2822.988153,-198.2184125,1
547168,2103397,2863.671159,-202.179532,1
547168,2104397,2889.227736,-206.0205299,1
547168,2105397,2925.193041,-209.5470714,1
547168,2106397,2965.883409,-211.4241285,1
547168,2107397,2944.57234,-215.6065053,1
547168,2108397,2840.70208,-218.0336433,1
547168,2109397,2849.774241,-221.1831848,1
547168,2110397,2848.308738,-224.3444085,1
547168,2111397,2800.957855,-225.9112742,1
548168,2092397,2092.95081,-165.5406965,1
548168,2093397,2163.894257,-169.3768485,1
548168,2094397,2258.993716,-172.1110409,1
548168,2095397,2300.425707,-174.6718045,1
548168,2096397,2356.399789,-177.5902593,1
548168,2097397,2412.841714,-180.2009028,1
548168,2098397,2455.526899,-182.4222747,1
548168,2099397,2494.568423,-184.517429,1
548168,2100397,2585.276261,-188.6018963,1
548168,2101397,2682.795293,-193.199108,1
548168,2102397,2739.183879,-196.6483295,1
548168,2103397,2785.181619,-199.9114984,1
548168,2104397,2816.576497,-202.9206789,1
548168,2105397,2836.724887,-207.6791942,1
548168,2106397,2870.187622,-210.7623098,1
548168,2107397,2872.291687,-214.7137542,1
548168,2108397,2836.298719,-218.444773,1
548168,2109397,2768.262626,-220.1308173,1
548168,2110397,2730.529848,-222.5073479,1
548168,2111397,2705.626321,-225.6741064,1
