x_m,y_m,z_m,mg_nT,std_dev
544873,2096233,2880.926544,-27.001043,1
544873,2098233,3018.390074,7.118422834,1
544873,2100233,3232.659244,3.498427781,1
544873,2102233,3471.204369,5.978660516,1
544873,2104233,3568.308068,109.8829365,1
544873,2106233,3513.539793,249.1344557,1
544873,2108233,3391.176198,-40.29569384,1
544873,2110233,3338.302028,-73.73938235,1
544873,2112233,3410.181098,-66.30249844,1
544873,2114233,3399.728363,-25.12365211,1
544873,2116233,3407.525488,-157.4666718,1
544873,2118233,3540.418735,-65.32369176,1
544873,2120233,3619.64801,143.2280357,1
544873,2122233,3519.795593,50.63262844,1
544873,2124233,3357.026636,13.69880083,1
546873,2092233,2463.571031,-79.31051987,1
546873,2094233,2558.608111,-62.76770296,1
546873,2096233,2707.243814,2.193845529,1
546873,2098233,2832.520423,1.01816959,1
546873,2100233,3015.564357,2.760901283,1
546873,2102233,3184.78918,32.76669681,1
546873,2104233,3215.508885,-13.26633283,1
546873,2106233,3294.134743,106.6747195,1
546873,2108233,3169.247072,25.3200152,1
546873,2110233,3182.445026,-44.10619746,1
546873,2112233,3070.707128,-18.93288959,1
546873,2114233,3159.138682,7.045268892,1
546873,2116233,3317.474153,-101.622489,1
546873,2118233,3363.959167,-69.92241832,1
546873,2120233,3211.122332,55.1186411,1
546873,2122233,3286.389802,25.13911395,1
546873,2124233,3045.352392,2.586523205,1
548873,2092233,2382.747079,-16.42581393,1
548873,2094233,2517.980151,-13.74094508,1
548873,2096233,2620.721766,-5.449428021,1
548873,2098233,2712.533798,-11.82764965,1
548873,2100233,2823.759376,-7.158138924,1
548873,2102233,3021.578697,0.50146906,1
548873,2104233,3041.565335,-19.75627698,1
548873,2106233,3060.824972,47.52595871,1
548873,2108233,3113.919303,45.41253646,1
548873,2110233,2999.255909,-39.88767469,1
548873,2112233,3057.139643,-26.9946247,1
548873,2114233,3061.06886,20.57790652,1
548873,2116233,3140.935583,3.971219349,1
548873,2118233,3124.462948,-84.97123937,1
548873,2120233,3233.081221,-27.86519896,1
548873,2122233,2988.821214,-24.64219863,1
550873,2092233,2364.565718,7.716941751,1
550873,2094233,2444.129032,-7.329114035,1
550873,2096233,2509.496547,-23.86613375,1
550873,2098233,2604.265764,-33.42609679,1
550873,2100233,2700.631828,-26.86060132,1
550873,2102233,2806.938003,-11.5814056,1
550873,2104233,2873.715777,-24.98793242,1
550873,2106233,2957.690668,9.122629386,1
550873,2108233,2981.612491,18.19180599,1
550873,2110233,2866.01109,-25.07434788,1
550873,2112233,2981.390178,-2.433472893,1
550873,2114233,2955.208238,35.87803238,1
550873,2116233,3008.649058,19.09412479,1
550873,2118233,3051.202121,-59.04843298,1
550873,2120233,2998.946996,-60.35898635,1
550873,2122233,2907.591285,-43.63721176,1
552873,2092233,2324.534101,15.00597519,1
552873,2094233,2390.025297,8.302707769,1
552873,2096233,2463.337269,-25.75040685,1
552873,2098233,2558.988019,-36.79619985,1
552873,2100233,2668.347994,-20.56083847,1
552873,2102233,2750.735913,-19.05242271,1
552873,2104233,2772.554557,-35.43034043,1
552873,2106233,2832.503438,-15.57633317,1
552873,2108233,2816.108357,-19.48051607,1
552873,2110233,2759.421329,-45.16722521,1
552873,2112233,2889.084737,13.86807481,1
552873,2114233,2903.113125,56.82483891,1
552873,2116233,2913.449398,11.02823055,1
552873,2118233,2906.809624,-43.80593722,1
552873,2120233,2887.242178,-68.48713142,1
552873,2122233,2821.51765,-52.36028189,1
552873,2124233,2782.238163,0.793307995,1
554873,2092233,2267.129262,2.817523444,1
554873,2094233,2389.858316,10.18298821,1
554873,2096233,2446.005722,-22.66599543,1
554873,2098233,2458.322433,-42.28804027,1
554873,2100233,2557.736441,-22.67543247,1
554873,2102233,2647.808369,-24.90336581,1
554873,2104233,2727.934686,-35.21249839,1
554873,2106233,2752.402386,-45.99209367,1
554873,2108233,2715.345668,-58.46776724,1
554873,2110233,2784.51694,-40.12375285,1
554873,2112233,2768.853963,1.746500708,1
554873,2114233,2797.8254,38.67095028,1
554873,2116233,2795.316458,-19.75577829,1
554873,2118233,2802.883836,-27.09953095,1
554873,2120233,2789.50568,-94.96732517,1
554873,2122233,2729.347988,-54.79375483,1
554873,2124233,2704.646858,22.0879374,1
556873,2092233,2199.036999,20.38014015,1
556873,2094233,2252.278463,-0.06927689,1
556873,2096233,2382.482482,-25.69240446,1
556873,2098233,2405.268908,-41.00425591,1
556873,2100233,2528.771552,-24.35665919,1
556873,2102233,2589.132995,-15.39857192,1
556873,2104233,2662.356047,5.562361474,1
556873,2106233,2662.509435,-101.245269,1
556873,2108233,2703.900893,-58.95650668,1
556873,2110233,2691.721289,-11.52416585,1
556873,2112233,2718.672013,-0.002803583,1
556873,2114233,2725.167088,-11.5349291,1
556873,2116233,2758.038659,-41.4559178,1
556873,2118233,2722.431024,-14.01549837,1
556873,2120233,2700.874341,-85.15208317,1
556873,2122233,2667.970902,-48.99331182,1
556873,2124233,2648.564354,49.63247027,1
558873,2092233,2176.098415,26.7312439,1
558873,2094233,2200.538126,-3.55642367,1
558873,2096233,2404.013288,-18.52440032,1
558873,2098233,2455.032412,-22.00418345,1
558873,2100233,2464.082525,-52.48717685,1
558873,2102233,2557.861555,-11.55004005,1
558873,2104233,2565.072307,-4.245059046,1
558873,2106233,2546.290793,-99.27842736,1
558873,2108233,2593.28833,-36.89441763,1
558873,2110233,2667.729774,20.90226707,1
558873,2112233,2653.624753,4.361519212,1
558873,2114233,2650.561905,-26.33304782,1
558873,2116233,2676.24331,-43.36869831,1
558873,2118233,2627.417033,-64.51328986,1
558873,2120233,2624.741242,-61.06731854,1
558873,2122233,2599.773892,5.438611854,1
558873,2124233,2597.439245,51.87406292,1
