 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   225.000,    775.000,     0.010, 0.1040E+01,  0.100
   225.000,    825.000,     0.010, 0.9541E+00,  0.100
   225.000,    875.000,     0.010, 0.8467E+00,  0.100
   225.000,    925.000,     0.010, 0.7306E+00,  0.100
   225.000,    975.000,     0.010, 0.6177E+00,  0.100
   275.000,     25.000,     0.010, 0.6608E+00,  0.100
   275.000,     75.000,     0.010, 0.8779E+00,  0.100
   275.000,    125.000,     0.010, 0.1169E+01,  0.100
   275.000,    175.000,     0.010, 0.1487E+01,  0.100
   275.000,    225.000,     0.010, 0.1733E+01,  0.100
   275.000,    275.000,     0.010, 0.1851E+01,  0.100
   275.000,    325.000,     0.010, 0.1833E+01,  0.100
   275.000,    375.000,     0.010, 0.1691E+01,  0.100
   275.000,    425.000,     0.010, 0.1485E+01,  0.100
   275.000,    475.000,     0.010, 0.1314E+01,  0.100
   275.000,    525.000,     0.010, 0.1223E+01,  0.100
   275.000,    575.000,     0.010, 0.1195E+01,  0.100
   275.000,    625.000,     0.010, 0.1196E+01,  0.100
   275.000,    675.000,     0.010, 0.1196E+01,  0.100
   275.000,    725.000,     0.010, 0.1173E+01,  0.100
   275.000,    775.000,     0.010, 0.1114E+01,  0.100
   275.000,    825.000,     0.010, 0.1022E+01,  0.100
   275.000,    875.000,     0.010, 0.9056E+00,  0.100
   275.000,    925.000,     0.010, 0.7798E+00,  0.100
   275.000,    975.000,     0.010, 0.6576E+00,  0.100
   325.000,     25.000,     0.010, 0.6540E+00,  0.100
   325.000,     75.000,     0.010, 0.8494E+00,  0.100
   325.000,    125.000,     0.010, 0.1104E+01,  0.100
   325.000,    175.000,     0.010, 0.1379E+01,  0.100
   325.000,    225.000,     0.010, 0.1593E+01,  0.100
   325.000,    275.000,     0.010, 0.1702E+01,  0.100
   325.000,    325.000,     0.010, 0.1697E+01,  0.100
   325.000,    375.000,     0.010, 0.1591E+01,  0.100
   325.000,    425.000,     0.010, 0.1434E+01,  0.100
   325.000,    475.000,     0.010, 0.1306E+01,  0.100
   325.000,    525.000,     0.010, 0.1243E+01,  0.100
   325.000,    575.000,     0.010, 0.1232E+01,  0.100
   325.000,    625.000,     0.010, 0.1244E+01,  0.100
