 x[m],y[m],z[m],mg[nT],Std_dev[nT]
   225.000,    775.000,     0.010,-0.3614E+01,  0.100
   225.000,    825.000,     0.010,-0.1379E+02,  0.100
   225.000,    875.000,     0.010,-0.2069E+02,  0.100
   225.000,    925.000,     0.010,-0.2365E+02,  0.100
   225.000,    975.000,     0.010,-0.2337E+02,  0.100
   275.000,     25.000,     0.010, 0.6573E+02,  0.100
   275.000,     75.000,     0.010, 0.9225E+02,  0.100
   275.000,    125.000,     0.010, 0.1177E+03,  0.100
   275.000,    175.000,     0.010, 0.1198E+03,  0.100
   275.000,    225.000,     0.010, 0.9446E+02,  0.100
   275.000,    275.000,     0.010, 0.5890E+02,  0.100
   275.000,    325.000,     0.010, 0.2032E+02,  0.100
   275.000,    375.000,     0.010,-0.1368E+02,  0.100
   275.000,    425.000,     0.010,-0.2342E+02,  0.100
   275.000,    475.000,     0.010,-0.8447E+01,  0.100
   275.000,    525.000,     0.010, 0.9834E+01,  0.100
   275.000,    575.000,     0.010, 0.2098E+02,  0.100
   275.000,    625.000,     0.010, 0.2331E+02,  0.100
   275.000,    675.000,     0.010, 0.1800E+02,  0.100
   275.000,    725.000,     0.010, 0.7624E+01,  0.100
   275.000,    775.000,     0.010,-0.4563E+01,  0.100
   275.000,    825.000,     0.010,-0.1538E+02,  0.100
   275.000,    875.000,     0.010,-0.2260E+02,  0.100
   275.000,    925.000,     0.010,-0.2555E+02,  0.100
   275.000,    975.000,     0.010,-0.2503E+02,  0.100
   325.000,     25.000,     0.010, 0.5428E+02,  0.100
   325.000,     75.000,     0.010, 0.7238E+02,  0.100
   325.000,    125.000,     0.010, 0.8771E+02,  0.100
   325.000,    175.000,     0.010, 0.8442E+02,  0.100
   325.000,    225.000,     0.010, 0.6151E+02,  0.100
   325.000,    275.000,     0.010, 0.3281E+02,  0.100
   325.000,    325.000,     0.010, 0.4355E+01,  0.100
   325.000,    375.000,     0.010,-0.1776E+02,  0.100
   325.000,    425.000,     0.010,-0.1994E+02,  0.100
   325.000,    475.000,     0.010,-0.3967E+01,  0.100
   325.000,    525.000,     0.010, 0.1310E+02,  0.100
   325.000,    575.000,     0.010, 0.2302E+02,  0.100
   325.000,    625.000,     0.010, 0.2435E+02,  0.100
   325.000,    675.000,     0.010, 0.1818E+02,  0.100
   325.000,    725.000,     0.010, 0.7051E+01,  0.100
   325.000,    775.000,     0.010,-0.5724E+01,  0.100
   325.000,    825.000,     0.010,-0.1691E+02,  0.100
   325.000,    875.000,     0.010,-0.2424E+02,  0.100
   325.000,    925.000,     0.010,-0.2709E+02,  0.100
   325.000,    975.000,     0.010,-0.2634E+02,  0.100
   375.000,     25.000,     0.010, 0.4026E+02,  0.100
   375.000,     75.000,     0.010, 0.4850E+02,  0.100
   375.000,    125.000,     0.010, 0.5219E+02,  0.100
   375.000,    175.000,     0.010, 0.4416E+02,  0.100
   375.000,    225.000,     0.010, 0.2626E+02,  0.100
   375.000,    275.000,     0.010, 0.6923E+01,  0.100
   375.000,    325.000,     0.010,-0.9156E+01,  0.100
   375.000,    375.000,     0.010,-0.1748E+02,  0.100
   375.000,    425.000,     0.010,-0.1232E+02,  0.100
   375.000,    475.000,     0.010, 0.2582E+01,  0.100
   375.000,    525.000,     0.010, 0.1682E+02,  0.100
   375.000,    575.000,     0.010, 0.2473E+02,  0.100
   375.000,    625.000,     0.010, 0.2482E+02,  0.100
   375.000,    675.000,     0.010, 0.1785E+02,  0.100
   375.000,    725.000,     0.010, 0.6191E+01,  0.100
   375.000,    775.000,     0.010,-0.6907E+01,  0.100
   375.000,    825.000,     0.010,-0.1823E+02,  0.100
   375.000,    875.000,     0.010,-0.2552E+02,  0.100
   375.000,    925.000,     0.010,-0.2822E+02,  0.100
   375.000,    975.000,     0.010,-0.2724E+02,  0.100
   425.000,     25.000,     0.010, 0.2837E+02,  0.100
   425.000,     75.000,     0.010, 0.2986E+02,  0.100
   425.000,    125.000,     0.010, 0.2724E+02,  0.100
   425.000,    175.000,     0.010, 0.1870E+02,  0.100
   425.000,    225.000,     0.010, 0.6607E+01,  0.100
   425.000,    275.000,     0.010,-0.4531E+01,  0.100
   425.000,    325.000,     0.010,-0.1138E+02,  0.100
   425.000,    375.000,     0.010,-0.1137E+02,  0.100
   425.000,    425.000,     0.010,-0.3455E+01,  0.100
   425.000,    475.000,     0.010, 0.8914E+01,  0.100
   425.000,    525.000,     0.010, 0.1999E+02,  0.100
   425.000,    575.000,     0.010, 0.2581E+02,  0.100
   425.000,    625.000,     0.010, 0.2472E+02,  0.100
   425.000,    675.000,     0.010, 0.1712E+02,  0.100
   425.000,    725.000,     0.010, 0.5165E+01,  0.100
   425.000,    775.000,     0.010,-0.8016E+01,  0.100
   425.000,    825.000,     0.010,-0.1928E+02,  0.100
   425.000,    875.000,     0.010,-0.2642E+02,  0.100
   425.000,    925.000,     0.010,-0.2892E+02,  0.100
   425.000,    975.000,     0.010,-0.2774E+02,  0.100
   475.000,     25.000,     0.010, 0.2079E+02,  0.100
   475.000,     75.000,     0.010, 0.1934E+02,  0.100
   475.000,    125.000,     0.010, 0.1518E+02,  0.100
   475.000,    175.000,     0.010, 0.8412E+01,  0.100
   475.000,    225.000,     0.010, 0.8133E+00,  0.100
   475.000,    275.000,     0.010,-0.5056E+01,  0.100
   475.000,    325.000,     0.010,-0.7106E+01,  0.100
   475.000,    375.000,     0.010,-0.4146E+01,  0.100
   475.000,    425.000,     0.010, 0.3473E+01,  0.100
   475.000,    475.000,     0.010, 0.1330E+02,  0.100
   475.000,    525.000,     0.010, 0.2180E+02,  0.100
   475.000,    575.000,     0.010, 0.2592E+02,  0.100
   475.000,    625.000,     0.010, 0.2392E+02,  0.100
   475.000,    675.000,     0.010, 0.1597E+02,  0.100
   475.000,    725.000,     0.010, 0.3988E+01,  0.100
   475.000,    775.000,     0.010,-0.9032E+01,  0.100
   475.000,    825.000,     0.010,-0.2004E+02,  0.100
   475.000,    875.000,     0.010,-0.2693E+02,  0.100
   475.000,    925.000,     0.010,-0.2918E+02,  0.100
   475.000,    975.000,     0.010,-0.2780E+02,  0.100
   525.000,     25.000,     0.010, 0.1727E+02,  0.100
   525.000,     75.000,     0.010, 0.1495E+02,  0.100
   525.000,    125.000,     0.010, 0.1096E+02,  0.100
   525.000,    175.000,     0.010, 0.5829E+01,  0.100
   525.000,    225.000,     0.010, 0.8436E+00,  0.100
   525.000,    275.000,     0.010,-0.2401E+01,  0.100
   525.000,    325.000,     0.010,-0.2603E+01,  0.100
   525.000,    375.000,     0.010, 0.8096E+00,  0.100
   525.000,    425.000,     0.010, 0.7317E+01,  0.100
   525.000,    475.000,     0.010, 0.1519E+02,  0.100
   525.000,    525.000,     0.010, 0.2187E+02,  0.100
   525.000,    575.000,     0.010, 0.2481E+02,  0.100
   525.000,    625.000,     0.010, 0.2229E+02,  0.100
   525.000,    675.000,     0.010, 0.1430E+02,  0.100
   525.000,    725.000,     0.010, 0.2598E+01,  0.100
   525.000,    775.000,     0.010,-0.9993E+01,  0.100
   525.000,    825.000,     0.010,-0.2055E+02,  0.100
   525.000,    875.000,     0.010,-0.2703E+02,  0.100
   525.000,    925.000,     0.010,-0.2899E+02,  0.100
   525.000,    975.000,     0.010,-0.2743E+02,  0.100
   575.000,     25.000,     0.010, 0.1673E+02,  0.100
   575.000,     75.000,     0.010, 0.1430E+02,  0.100
   575.000,    125.000,     0.010, 0.1066E+02,  0.100
   575.000,    175.000,     0.010, 0.6373E+01,  0.100
   575.000,    225.000,     0.010, 0.2436E+01,  0.100
   575.000,    275.000,     0.010, 0.5226E-02,  0.100
   575.000,    325.000,     0.010, 0.2370E-01,  0.100
   575.000,    375.000,     0.010, 0.2885E+01,  0.100
   575.000,    425.000,     0.010, 0.8176E+01,  0.100
   575.000,    475.000,     0.010, 0.1458E+02,  0.100
   575.000,    525.000,     0.010, 0.2005E+02,  0.100
   575.000,    575.000,     0.010, 0.2228E+02,  0.100
   575.000,    625.000,     0.010, 0.1962E+02,  0.100
   575.000,    675.000,     0.010, 0.1195E+02,  0.100
   575.000,    725.000,     0.010, 0.8724E+00,  0.100
   575.000,    775.000,     0.010,-0.1097E+02,  0.100
   575.000,    825.000,     0.010,-0.2081E+02,  0.100
   575.000,    875.000,     0.010,-0.2673E+02,  0.100
   575.000,    925.000,     0.010,-0.2833E+02,  0.100
   575.000,    975.000,     0.010,-0.2659E+02,  0.100
   625.000,     25.000,     0.010, 0.1827E+02,  0.100
   625.000,     75.000,     0.010, 0.1591E+02,  0.100
   625.000,    125.000,     0.010, 0.1234E+02,  0.100
   625.000,    175.000,     0.010, 0.8089E+01,  0.100
   625.000,    225.000,     0.010, 0.4041E+01,  0.100
   625.000,    275.000,     0.010, 0.1227E+01,  0.100
   625.000,    325.000,     0.010, 0.5184E+00,  0.100
   625.000,    375.000,     0.010, 0.2332E+01,  0.100
   625.000,    425.000,     0.010, 0.6395E+01,  0.100
   625.000,    475.000,     0.010, 0.1164E+02,  0.100
   625.000,    525.000,     0.010, 0.1626E+02,  0.100
   625.000,    575.000,     0.010, 0.1814E+02,  0.100
   625.000,    625.000,     0.010, 0.1568E+02,  0.100
   625.000,    675.000,     0.010, 0.8716E+01,  0.100
   625.000,    725.000,     0.010,-0.1335E+01,  0.100
   625.000,    775.000,     0.010,-0.1204E+02,  0.100
   625.000,    825.000,     0.010,-0.2086E+02,  0.100
   625.000,    875.000,     0.010,-0.2601E+02,  0.100
   625.000,    925.000,     0.010,-0.2716E+02,  0.100
   625.000,    975.000,     0.010,-0.2525E+02,  0.100
   675.000,     25.000,     0.010, 0.2140E+02,  0.100
   675.000,     75.000,     0.010, 0.1909E+02,  0.100
   675.000,    125.000,     0.010, 0.1523E+02,  0.100
   675.000,    175.000,     0.010, 0.1031E+02,  0.100
   675.000,    225.000,     0.010, 0.5246E+01,  0.100
   675.000,    275.000,     0.010, 0.1160E+01,  0.100
   675.000,    325.000,     0.010,-0.9532E+00,  0.100
   675.000,    375.000,     0.010,-0.5380E+00,  0.100
   675.000,    425.000,     0.010, 0.2260E+01,  0.100
   675.000,    475.000,     0.010, 0.6491E+01,  0.100
   675.000,    525.000,     0.010, 0.1049E+02,  0.100
   675.000,    575.000,     0.010, 0.1228E+02,  0.100
   675.000,    625.000,     0.010, 0.1034E+02,  0.100
   675.000,    675.000,     0.010, 0.4454E+01,  0.100
   675.000,    725.000,     0.010,-0.4129E+01,  0.100
   675.000,    775.000,     0.010,-0.1326E+02,  0.100
   675.000,    825.000,     0.010,-0.2068E+02,  0.100
   675.000,    875.000,     0.010,-0.2483E+02,  0.100
   675.000,    925.000,     0.010,-0.2544E+02,  0.100
   675.000,    975.000,     0.010,-0.2339E+02,  0.100
   725.000,     25.000,     0.010, 0.2594E+02,  0.100
   725.000,     75.000,     0.010, 0.2365E+02,  0.100
   725.000,    125.000,     0.010, 0.1917E+02,  0.100
   725.000,    175.000,     0.010, 0.1296E+02,  0.100
   725.000,    225.000,     0.010, 0.6071E+01,  0.100
   725.000,    275.000,     0.010,-0.8128E-01,  0.100
   725.000,    325.000,     0.010,-0.4193E+01,  0.100
   725.000,    375.000,     0.010,-0.5484E+01,  0.100
   725.000,    425.000,     0.010,-0.3998E+01,  0.100
   725.000,    475.000,     0.010,-0.6629E+00,  0.100
   725.000,    525.000,     0.010, 0.2893E+01,  0.100
   725.000,    575.000,     0.010, 0.4798E+01,  0.100
   725.000,    625.000,     0.010, 0.3652E+01,  0.100
   725.000,    675.000,     0.010,-0.7751E+00,  0.100
   725.000,    725.000,     0.010,-0.7442E+01,  0.100
   725.000,    775.000,     0.010,-0.1454E+02,  0.100
   725.000,    825.000,     0.010,-0.2019E+02,  0.100
   725.000,    875.000,     0.010,-0.2312E+02,  0.100
   725.000,    925.000,     0.010,-0.2312E+02,  0.100
   725.000,    975.000,     0.010,-0.2098E+02,  0.100
   775.000,     25.000,     0.010, 0.3196E+02,  0.100
   775.000,     75.000,     0.010, 0.2980E+02,  0.100
   775.000,    125.000,     0.010, 0.2443E+02,  0.100
