 x[m],y[m],z[m],Density_Contrast[g/cm**3]
    25.000,    725.000,  -225.000,  0.0000
    25.000,    725.000,  -275.000,  0.0000
    25.000,    725.000,  -325.000,  0.0000
    25.000,    725.000,  -375.000,  0.0000
    25.000,    725.000,  -425.000,  0.0000
    25.000,    725.000,  -475.000,  0.0000
    25.000,    775.000,   -25.000,  0.0000
    25.000,    775.000,   -75.000,  0.0000
    25.000,    775.000,  -125.000,  0.0000
    25.000,    775.000,  -175.000,  0.0000
    25.000,    775.000,  -225.000,  0.0000
    25.000,    775.000,  -275.000,  0.0000
    25.000,    775.000,  -325.000,  0.0000
    25.000,    775.000,  -375.000,  0.0000
    25.000,    775.000,  -425.000,  0.0000
    25.000,    775.000,  -475.000,  0.0000
    25.000,    825.000,   -25.000,  0.0000
    25.000,    825.000,   -75.000,  0.0000
    25.000,    825.000,  -125.000,  0.0000
    25.000,    825.000,  -175.000,  0.0000
    25.000,    825.000,  -225.000,  0.0000
    25.000,    825.000,  -275.000,  0.0000
    25.000,    825.000,  -325.000,  0.0000
    25.000,    825.000,  -375.000,  0.0000
    25.000,    825.000,  -425.000,  0.0000
    25.000,    825.000,  -475.000,  0.0000
    25.000,    875.000,   -25.000,  0.0000
    25.000,    875.000,   -75.000,  0.0000
    25.000,    875.000,  -125.000,  0.0000
    25.000,    875.000,  -175.000,  0.0000
    25.000,    875.000,  -225.000,  0.0000
    25.000,    875.000,  -275.000,  0.0000
    25.000,    875.000,  -325.000,  0.0000
    25.000,    875.000,  -375.000,  0.0000
    25.000,    875.000,  -425.000,  0.0000
    25.000,    875.000,  -475.000,  0.0000
    25.000,    925.000,   -25.000,  0.0000
    25.000,    925.000,   -75.000,  0.0000
    25.000,    925.000,  -125.000,  0.0000
    25.000,    925.000,  -175.000,  0.0000
    25.000,    925.000,  -225.000,  0.0000
    25.000,    925.000,  -275.000,  0.0000
    25.000,    925.000,  -325.000,  0.0000
    25.000,    925.000,  -375.000,  0.0000
    25.000,    925.000,  -425.000,  0.0000
    25.000,    925.000,  -475.000,  0.0000
    25.000,    975.000,   -25.000,  0.0000
    25.000,    975.000,   -75.000,  0.0000
    25.000,    975.000,  -125.000,  0.0000
    25.000,    975.000,  -175.000,  0.0000
    25.000,    975.000,  -225.000,  0.0000
    25.000,    975.000,  -275.000,  0.0000
    25.000,    975.000,  -325.000,  0.0000
    25.000,    975.000,  -375.000,  0.0000
    25.000,    975.000,  -425.000,  0.0000
    25.000,    975.000,  -475.000,  0.0000
    75.000,     25.000,   -25.000,  0.0000
    75.000,     25.000,   -75.000,  0.0000
    75.000,     25.000,  -125.000,  0.0000
    75.000,     25.000,  -175.000,  0.0000
    75.000,     25.000,  -225.000,  0.0000
    75.000,     25.000,  -275.000,  0.0000
    75.000,     25.000,  -325.000,  0.0000
    75.000,     25.000,  -375.000,  0.0000
    75.000,     25.000,  -425.000,  0.0000
    75.000,     25.000,  -475.000,  0.0000
    75.000,     75.000,   -25.000,  0.0000
    75.000,     75.000,   -75.000,  0.0000
    75.000,     75.000,  -125.000,  0.0000
    75.000,     75.000,  -175.000,  0.0000
    75.000,     75.000,  -225.000,  0.0000
    75.000,     75.000,  -275.000,  0.0000
    75.000,     75.000,  -325.000,  0.0000
