x_m,y_m,z_m,mg_nT,stdev
536168,2101397,4202.077159,341.8212998,1
536168,2102397,4316.215906,429.7541118,1
536168,2103397,4372.006803,543.5745491,1
536168,2104397,4404.623712,459.884452,1
536168,2105397,4348.457174,164.1262064,1
536168,2106397,3992.914815,-123.8454368,1
536168,2107397,3935.562991,-210.6871192,1
536168,2108397,4093.815987,-102.1772315,1
536168,2109397,3977.027385,16.97201769,1
536168,2110397,3897.061554,8.942175571,1
536168,2111397,3995.028455,-45.47967631,1
537168,2092397,3038.507893,-150.9321573,1
537168,2093397,3166.097687,-126.0877182,1
537168,2094397,3296.583826,-99.47067665,1
537168,2095397,3415.559018,-79.72945974,1
537168,2096397,3500.152881,-83.18672877,1
537168,2097397,3632.595762,-104.9421236,1
537168,2098397,3734.564745,-71.55333892,1
537168,2099397,3937.980993,32.31842133,1
537168,2100397,4135.159569,146.6432169,1
537168,2101397,4422.329437,392.6969367,1
537168,2102397,4568.660252,805.2520154,1
537168,2103397,4653.960541,987.9974958,1
537168,2104397,4628.569746,657.03599,1
537168,2105397,4358.907051,30.52177601,1
537168,2106397,3984.691802,-372.764026,1
537168,2107397,4269.564041,-320.6567121,1
537168,2108397,4103.263086,-49.49756318,1
537168,2109397,4061.916424,92.54474789,1
537168,2110397,3984.111068,25.06679792,1
537168,2111397,3981.474652,-53.35381087,1
538168,2092397,3032.850906,-208.3446921,1
538168,2093397,3054.502462,-179.2678335,1
538168,2094397,3192.103595,-125.6288249,1
538168,2095397,3291.650129,-87.38100326,1
538168,2096397,3381.735768,-84.94270579,1
538168,2097397,3461.653757,-104.2848172,1
538168,2098397,3697.069492,-106.1832047,1
538168,2099397,3962.829628,-119.86946,1
538168,2100397,4225.348146,-65.56597361,1
538168,2101397,4589.641962,406.3779647,1
538168,2102397,4974.3772,1162.914173,1
538168,2103397,5060.328416,1459.242341,1
538168,2104397,4967.283951,964.7598619,1
538168,2105397,4483.024839,5.587479512,1
538168,2106397,4349.251151,-658.9196505,1
538168,2107397,4255.574627,-588.5053884,1
538168,2108397,4076.48292,-137.9017236,1
538168,2109397,4058.935152,117.3623208,1
538168,2110397,3958.370744,60.04374636,1
538168,2111397,3943.006924,-26.9880135,1
539168,2092397,2846.039881,-235.127821,1
539168,2093397,2937.220999,-212.6865109,1
539168,2094397,3055.161857,-153.9174889,1
539168,2095397,3172.457318,-108.8810688,1
539168,2096397,3305.831775,-100.3569126,1
539168,2097397,3530.575478,-106.5086286,1
539168,2098397,3698.347042,-121.3850685,1
539168,2099397,3904.052815,-222.1557269,1
539168,2100397,4236.693856,-252.3348561,1
539168,2101397,4621.646458,330.4769323,1
539168,2102397,5164.681645,1333.702046,1
539168,2103397,5631.262054,1770.911088,1
539168,2104397,5097.993017,1252.307388,1
539168,2105397,4613.252272,107.2479625,1
539168,2106397,4333.357335,-797.5501827,1
539168,2107397,4169.998506,-809.5951591,1
539168,2108397,4232.256637,-291.5489162,1
539168,2109397,3965.247211,53.01178789,1
539168,2110397,3908.660774,56.11616774,1
539168,2111397,3887.490024,-6.846264991,1
540168,2092397,2795.694328,-228.1750009,1
540168,2093397,2945.175423,-212.1092717,1
540168,2094397,3025.827621,-159.5957549,1
540168,2095397,3224.861235,-122.1467337,1
540168,2096397,3338.422807,-114.4407216,1
540168,2097397,3436.919496,-112.4894624,1
540168,2098397,3577.765653,-115.5463472,1
540168,2099397,3776.418853,-227.4480235,1
540168,2100397,4085.793159,-328.8154987,1
540168,2101397,4484.020755,181.3866496,1
540168,2102397,4982.958966,1241.401901,1
540168,2103397,5371.03416,1818.311846,1
540168,2104397,5069.354525,1407.727623,1
540168,2105397,4647.760517,290.7264809,1
540168,2106397,4298.353588,-678.7562234,1
540168,2107397,4107.695474,-808.2116486,1
540168,2108397,3996.232271,-396.6909537,1
540168,2109397,3862.815213,-77.86837249,1
540168,2110397,3839.933237,-13.91249898,1
540168,2111397,3843.987141,-39.39437373,1
541168,2092397,2910.794238,-204.4302291,1
541168,2093397,2982.578128,-189.4474546,1
541168,2094397,3054.350755,-148.7266213,1
541168,2095397,3111.392158,-121.1747008,1
541168,2096397,3224.675285,-114.3980407,1
541168,2097397,3337.351711,-105.1581644,1
541168,2098397,3519.802942,-88.70366327,1
541168,2099397,3834.840085,-144.5820994,1
541168,2100397,3962.220076,-252.748599,1
541168,2101397,4268.152713,46.73067781,1
541168,2102397,4651.173793,906.3400082,1
541168,2103397,4790.077257,1538.006014,1
541168,2104397,4728.515353,1332.533206,1
541168,2105397,4518.493544,464.1584781,1
541168,2106397,4349.233472,-363.548003,1
541168,2107397,4085.225973,-591.2126915,1
541168,2108397,3903.33262,-404.3598621,1
541168,2109397,3825.015545,-206.6404264,1
541168,2110397,3739.348105,-116.6955218,1
541168,2111397,3750.95666,-117.3597975,1
542168,2092397,2759.965093,-179.138242,1
542168,2093397,2891.174682,-166.6666308,1
542168,2094397,2945.472928,-136.5436463,1
542168,2095397,3054.576454,-111.870527,1
542168,2096397,3146.086161,-97.19357691,1
542168,2097397,3282.188092,-78.66072704,1
542168,2098397,3478.91951,-45.84280883,1
542168,2099397,3567.776603,-33.13703446,1
542168,2100397,3742.309369,-81.68789827,1
542168,2101397,4044.265505,-7.922619011,1
542168,2102397,4198.293139,436.1882443,1
542168,2103397,4300.316145,937.8295939,1
542168,2104397,4385.546637,982.9310057,1
