 x[m],y[m],z[m],mg[nT],Std_dev[nT]
-22.5,107.5,0.01,-3.14E-01,0.1
-22.5,112.5,0.01,-3.50E-01,0.1
-22.5,117.5,0.01,-4.70E-01,0.1
-17.5,-37.5,0.01,-2.66E+00,0.1
-17.5,-32.5,0.01,-3.12E+00,0.1
-17.5,-27.5,0.01,-3.02E+00,0.1
-17.5,-22.5,0.01,-3.78E+00,0.1
-17.5,-17.5,0.01,-3.63E+00,0.1
-17.5,-12.5,0.01,-3.57E+00,0.1
-17.5,-7.5,0.01,-3.21E+00,0.1
-17.5,-2.5,0.01,-3.07E+00,0.1
-17.5,2.5,0.01,-3.88E+00,0.1
-17.5,7.5,0.01,-3.83E+00,0.1
-17.5,12.5,0.01,-3.74E+00,0.1
-17.5,17.5,0.01,-3.14E+00,0.1
-17.5,22.5,0.01,-2.99E+00,0.1
-17.5,27.5,0.01,-2.96E+00,0.1
-17.5,32.5,0.01,-2.79E+00,0.1
-17.5,37.5,0.01,-2.48E+00,0.1
-17.5,42.5,0.01,-2.49E+00,0.1
-17.5,47.5,0.01,-2.23E+00,0.1
-17.5,52.5,0.01,-1.93E+00,0.1
-17.5,57.5,0.01,-1.78E+00,0.1
-17.5,62.5,0.01,-1.34E+00,0.1
-17.5,67.5,0.01,-1.22E+00,0.1
-17.5,72.5,0.01,-6.62E-01,0.1
-17.5,77.5,0.01,-6.84E-01,0.1
-17.5,82.5,0.01,-7.33E-01,0.1
-17.5,87.5,0.01,-3.63E-01,0.1
-17.5,92.5,0.01,-6.55E-01,0.1
-17.5,97.5,0.01,-3.93E-01,0.1
-17.5,102.5,0.01,-8.12E-01,0.1
-17.5,107.5,0.01,-8.67E-01,0.1
-17.5,112.5,0.01,-3.47E-01,0.1
-17.5,117.5,0.01,-2.71E-01,0.1
-12.5,-37.5,0.01,-1.90E+00,0.1
-12.5,-32.5,0.01,-2.37E+00,0.1
-12.5,-27.5,0.01,-2.30E+00,0.1
-12.5,-22.5,0.01,-1.80E+00,0.1
-12.5,-17.5,0.01,-1.79E+00,0.1
-12.5,-12.5,0.01,-1.59E+00,0.1
-12.5,-7.5,0.01,-1.01E+00,0.1
-12.5,-2.5,0.01,-1.03E+00,0.1
-12.5,2.5,0.01,-5.62E-01,0.1
-12.5,7.5,0.01,-8.17E-01,0.1
-12.5,12.5,0.01,-9.66E-01,0.1
-12.5,17.5,0.01,-2.19E+00,0.1
-12.5,22.5,0.01,-2.47E+00,0.1
-12.5,27.5,0.01,-1.90E+00,0.1
-12.5,32.5,0.01,-2.10E+00,0.1
-12.5,37.5,0.01,-2.08E+00,0.1
-12.5,42.5,0.01,-2.03E+00,0.1
-12.5,47.5,0.01,-1.84E+00,0.1
-12.5,52.5,0.01,-1.64E+00,0.1
-12.5,57.5,0.01,-1.45E+00,0.1
-12.5,62.5,0.01,-1.71E+00,0.1
-12.5,67.5,0.01,-1.20E+00,0.1
-12.5,72.5,0.01,-1.15E+00,0.1
-12.5,77.5,0.01,-8.91E-01,0.1
-12.5,82.5,0.01,-8.83E-01,0.1
-12.5,87.5,0.01,-1.11E+00,0.1
-12.5,92.5,0.01,-8.80E-01,0.1
-12.5,97.5,0.01,-1.88E-01,0.1
-12.5,102.5,0.01,-4.85E-01,0.1
-12.5,107.5,0.01,-3.53E-01,0.1
-12.5,112.5,0.01,-4.11E-02,0.1
-12.5,117.5,0.01,-1.06E-01,0.1
-7.5,-37.5,0.01,-1.40E+00,0.1
-7.5,-32.5,0.01,-9.66E-01,0.1
-7.5,-27.5,0.01,-8.90E-01,0.1
-7.5,-22.5,0.01,-9.79E-02,0.1
-7.5,-17.5,0.01,7.27E-01,0.1
-7.5,-12.5,0.01,1.79E+00,0.1
-7.5,-7.5,0.01,2.66E+00,0.1
-7.5,-2.5,0.01,3.04E+00,0.1
-7.5,2.5,0.01,2.97E+00,0.1
-7.5,7.5,0.01,2.37E+00,0.1
-7.5,12.5,0.01,1.82E+00,0.1
-7.5,17.5,0.01,1.05E+00,0.1
-7.5,22.5,0.01,-5.06E-02,0.1
-7.5,27.5,0.01,-1.18E+00,0.1
-7.5,32.5,0.01,-1.73E+00,0.1
-7.5,37.5,0.01,-1.16E+00,0.1
-7.5,42.5,0.01,-1.72E+00,0.1
-7.5,47.5,0.01,-1.85E+00,0.1
-7.5,52.5,0.01,-1.33E+00,0.1
-7.5,57.5,0.01,-1.68E+00,0.1
-7.5,62.5,0.01,-1.52E+00,0.1
-7.5,67.5,0.01,-1.13E+00,0.1
-7.5,72.5,0.01,-1.06E+00,0.1
-7.5,77.5,0.01,-1.07E+00,0.1
-7.5,82.5,0.01,-1.14E+00,0.1
-7.5,87.5,0.01,-5.16E-01,0.1
-7.5,92.5,0.01,-2.02E-01,0.1
-7.5,97.5,0.01,-5.42E-01,0.1
-7.5,102.5,0.01,-5.79E-01,0.1
-7.5,107.5,0.01,-6.31E-01,0.1
-7.5,112.5,0.01,-6.67E-01,0.1
-7.5,117.5,0.01,-7.44E-01,0.1
-2.5,-37.5,0.01,-8.26E-01,0.1
-2.5,-32.5,0.01,-1.21E-01,0.1
-2.5,-27.5,0.01,1.15E+00,0.1
-2.5,-22.5,0.01,1.82E+00,0.1
-2.5,-17.5,0.01,3.62E+00,0.1
-2.5,-12.5,0.01,5.64E+00,0.1
-2.5,-7.5,0.01,6.30E+00,0.1
-2.5,-2.5,0.01,7.61E+00,0.1
-2.5,2.5,0.01,7.64E+00,0.1
-2.5,7.5,0.01,7.02E+00,0.1
-2.5,12.5,0.01,5.56E+00,0.1
-2.5,17.5,0.01,3.24E+00,0.1
-2.5,22.5,0.01,1.95E+00,0.1
-2.5,27.5,0.01,1.06E+00,0.1
-2.5,32.5,0.01,-6.13E-02,0.1
-2.5,37.5,0.01,-1.06E+00,0.1
-2.5,42.5,0.01,-8.24E-01,0.1
-2.5,47.5,0.01,-1.16E+00,0.1
-2.5,52.5,0.01,-1.09E+00,0.1
-2.5,57.5,0.01,-8.76E-01,0.1
-2.5,62.5,0.01,-8.27E-01,0.1
-2.5,67.5,0.01,-7.76E-01,0.1
-2.5,72.5,0.01,-1.20E+00,0.1
-2.5,77.5,0.01,-4.37E-01,0.1
-2.5,82.5,0.01,-3.76E-01,0.1
-2.5,87.5,0.01,-5.70E-01,0.1
-2.5,92.5,0.01,-5.15E-01,0.1
-2.5,97.5,0.01,-3.26E-01,0.1
-2.5,102.5,0.01,-3.60E-01,0.1
-2.5,107.5,0.01,-1.19E-02,0.1
-2.5,112.5,0.01,-4.01E-01,0.1
-2.5,117.5,0.01,-1.32E-01,0.1
2.5,-37.5,0.01,-1.00E-01,0.1
2.5,-32.5,0.01,9.78E-01,0.1
2.5,-27.5,0.01,2.62E+00,0.1
2.5,-22.5,0.01,4.39E+00,0.1
2.5,-17.5,0.01,6.05E+00,0.1
2.5,-12.5,0.01,9.10E+00,0.1
2.5,-7.5,0.01,1.07E+01,0.1
2.5,-2.5,0.01,1.21E+01,0.1
2.5,2.5,0.01,1.24E+01,0.1
2.5,7.5,0.01,1.06E+01,0.1
2.5,12.5,0.01,9.09E+00,0.1
2.5,17.5,0.01,6.62E+00,0.1
2.5,22.5,0.01,4.64E+00,0.1
2.5,27.5,0.01,2.11E+00,0.1
2.5,32.5,0.01,1.03E+00,0.1
2.5,37.5,0.01,5.76E-01,0.1
2.5,42.5,0.01,-2.87E-01,0.1
2.5,47.5,0.01,-9.18E-01,0.1
2.5,52.5,0.01,-1.18E+00,0.1
2.5,57.5,0.01,-1.03E+00,0.1
2.5,62.5,0.01,-7.92E-01,0.1
2.5,67.5,0.01,-1.18E+00,0.1
2.5,72.5,0.01,-8.63E-01,0.1
2.5,77.5,0.01,-1.10E+00,0.1
2.5,82.5,0.01,-3.54E-01,0.1
2.5,87.5,0.01,-1.51E-01,0.1
2.5,92.5,0.01,-8.61E-01,0.1
2.5,97.5,0.01,-5.91E-01,0.1
2.5,102.5,0.01,-1.19E-01,0.1
2.5,107.5,0.01,-7.25E-01,0.1
2.5,112.5,0.01,-3.00E-02,0.1
2.5,117.5,0.01,-4.77E-01,0.1
7.5,-37.5,0.01,1.59E+00,0.1
7.5,-32.5,0.01,2.31E+00,0.1
7.5,-27.5,0.01,3.58E+00,0.1
7.5,-22.5,0.01,5.89E+00,0.1
7.5,-17.5,0.01,9.22E+00,0.1
7.5,-12.5,0.01,1.15E+01,0.1
7.5,-7.5,0.01,1.43E+01,0.1
7.5,-2.5,0.01,1.54E+01,0.1
7.5,2.5,0.01,1.55E+01,0.1
7.5,7.5,0.01,1.40E+01,0.1
7.5,12.5,0.01,1.20E+01,0.1
7.5,17.5,0.01,8.90E+00,0.1
7.5,22.5,0.01,5.80E+00,0.1
7.5,27.5,0.01,4.01E+00,0.1
7.5,32.5,0.01,2.21E+00,0.1
7.5,37.5,0.01,1.28E+00,0.1
7.5,42.5,0.01,8.90E-02,0.1
7.5,47.5,0.01,-1.71E-01,0.1
7.5,52.5,0.01,-4.11E-01,0.1
7.5,57.5,0.01,-3.44E-01,0.1
7.5,62.5,0.01,-1.64E-01,0.1
7.5,67.5,0.01,-5.91E-01,0.1
7.5,72.5,0.01,-2.97E-01,0.1
7.5,77.5,0.01,-3.46E-01,0.1
7.5,82.5,0.01,-2.55E-01,0.1
7.5,87.5,0.01,-8.68E-01,0.1
7.5,92.5,0.01,-2.11E-01,0.1
7.5,97.5,0.01,-4.81E-01,0.1
7.5,102.5,0.01,-5.43E-01,0.1
7.5,107.5,0.01,-3.28E-01,0.1
7.5,112.5,0.01,-7.96E-02,0.1
7.5,117.5,0.01,1.05E-01,0.1
12.5,-37.5,0.01,1.70E+00,0.1
12.5,-32.5,0.01,3.02E+00,0.1
12.5,-27.5,0.01,5.13E+00,0.1
12.5,-22.5,0.01,7.56E+00,0.1
12.5,-17.5,0.01,1.03E+01,0.1
12.5,-12.5,0.01,1.31E+01,0.1
12.5,-7.5,0.01,1.57E+01,0.1
12.5,-2.5,0.01,1.66E+01,0.1
12.5,2.5,0.01,1.72E+01,0.1
12.5,7.5,0.01,1.53E+01,0.1
12.5,12.5,0.01,1.33E+01,0.1
12.5,17.5,0.01,1.03E+01,0.1
12.5,22.5,0.01,7.72E+00,0.1
12.5,27.5,0.01,5.13E+00,0.1
12.5,32.5,0.01,3.55E+00,0.1
12.5,37.5,0.01,2.31E+00,0.1
12.5,42.5,0.01,1.43E+00,0.1
12.5,47.5,0.01,1.91E-01,0.1
12.5,52.5,0.01,-2.33E-01,0.1
12.5,57.5,0.01,-1.66E-02,0.1
12.5,62.5,0.01,-6.24E-01,0.1
12.5,67.5,0.01,-1.41E-01,0.1
12.5,72.5,0.01,-7.97E-01,0.1
12.5,77.5,0.01,-7.34E-01,0.1
12.5,82.5,0.01,-5.46E-01,0.1
12.5,87.5,0.01,-1.97E-01,0.1
12.5,92.5,0.01,-9.82E-02,0.1
12.5,97.5,0.01,6.20E-03,0.1
12.5,102.5,0.01,-8.14E-01,0.1
12.5,107.5,0.01,-6.93E-01,0.1
12.5,112.5,0.01,-3.13E-01,0.1
12.5,117.5,0.01,1.16E-01,0.1
17.5,-37.5,0.01,2.24E+00,0.1
17.5,-32.5,0.01,4.10E+00,0.1
17.5,-27.5,0.01,5.50E+00,0.1
17.5,-22.5,0.01,8.21E+00,0.1
17.5,-17.5,0.01,1.06E+01,0.1
17.5,-12.5,0.01,1.36E+01,0.1
17.5,-7.5,0.01,1.58E+01,0.1
17.5,-2.5,0.01,1.72E+01,0.1
17.5,2.5,0.01,1.71E+01,0.1
17.5,7.5,0.01,1.54E+01,0.1
17.5,12.5,0.01,1.31E+01,0.1
17.5,17.5,0.01,1.12E+01,0.1
17.5,22.5,0.01,7.72E+00,0.1
17.5,27.5,0.01,6.16E+00,0.1
17.5,32.5,0.01,4.38E+00,0.1
17.5,37.5,0.01,2.81E+00,0.1
17.5,42.5,0.01,1.96E+00,0.1
17.5,47.5,0.01,4.97E-01,0.1
17.5,52.5,0.01,-7.80E-02,0.1
17.5,57.5,0.01,-6.94E-02,0.1
17.5,62.5,0.01,-2.64E-01,0.1
17.5,67.5,0.01,-1.60E-01,0.1
17.5,72.5,0.01,-2.51E-01,0.1
17.5,77.5,0.01,-5.35E-01,0.1
17.5,82.5,0.01,-7.95E-01,0.1
17.5,87.5,0.01,-3.60E-01,0.1
17.5,92.5,0.01,-2.54E-02,0.1
17.5,97.5,0.01,-8.37E-02,0.1
17.5,102.5,0.01,-4.50E-01,0.1
17.5,107.5,0.01,-1.92E-01,0.1
17.5,112.5,0.01,3.02E-03,0.1
17.5,117.5,0.01,-6.30E-01,0.1
22.5,-37.5,0.01,2.96E+00,0.1
22.5,-32.5,0.01,4.20E+00,0.1
22.5,-27.5,0.01,6.28E+00,0.1
22.5,-22.5,0.01,7.97E+00,0.1
22.5,-17.5,0.01,1.06E+01,0.1
22.5,-12.5,0.01,1.31E+01,0.1
22.5,-7.5,0.01,1.47E+01,0.1
22.5,-2.5,0.01,1.60E+01,0.1
22.5,2.5,0.01,1.56E+01,0.1
22.5,7.5,0.01,1.44E+01,0.1
22.5,12.5,0.01,1.30E+01,0.1
22.5,17.5,0.01,1.09E+01,0.1
22.5,22.5,0.01,8.25E+00,0.1
22.5,27.5,0.01,6.44E+00,0.1
22.5,32.5,0.01,3.80E+00,0.1
22.5,37.5,0.01,2.98E+00,0.1
22.5,42.5,0.01,2.06E+00,0.1
22.5,47.5,0.01,9.38E-01,0.1
22.5,52.5,0.01,2.15E-01,0.1
22.5,57.5,0.01,3.29E-01,0.1
22.5,62.5,0.01,-4.00E-01,0.1
22.5,67.5,0.01,-3.39E-01,0.1
22.5,72.5,0.01,-1.96E-01,0.1
22.5,77.5,0.01,-5.25E-01,0.1
22.5,82.5,0.01,1.87E-02,0.1
22.5,87.5,0.01,6.92E-02,0.1
22.5,92.5,0.01,-5.26E-01,0.1
22.5,97.5,0.01,-3.08E-01,0.1
22.5,102.5,0.01,-6.59E-01,0.1
22.5,107.5,0.01,-1.07E-01,0.1
22.5,112.5,0.01,-5.10E-01,0.1
22.5,117.5,0.01,1.59E-01,0.1
27.5,-37.5,0.01,3.07E+00,0.1
27.5,-32.5,0.01,4.03E+00,0.1
27.5,-27.5,0.01,5.74E+00,0.1
27.5,-22.5,0.01,7.93E+00,0.1
27.5,-17.5,0.01,9.35E+00,0.1
27.5,-12.5,0.01,1.14E+01,0.1
27.5,-7.5,0.01,1.29E+01,0.1
27.5,-2.5,0.01,1.38E+01,0.1
27.5,2.5,0.01,1.39E+01,0.1
27.5,7.5,0.01,1.26E+01,0.1
27.5,12.5,0.01,1.16E+01,0.1
27.5,17.5,0.01,9.66E+00,0.1
27.5,22.5,0.01,7.79E+00,0.1
27.5,27.5,0.01,5.50E+00,0.1
27.5,32.5,0.01,4.06E+00,0.1
27.5,37.5,0.01,2.58E+00,0.1
27.5,42.5,0.01,2.16E+00,0.1
27.5,47.5,0.01,1.11E+00,0.1
27.5,52.5,0.01,4.30E-01,0.1
27.5,57.5,0.01,3.78E-01,0.1
27.5,62.5,0.01,-1.62E-01,0.1
27.5,67.5,0.01,1.13E-01,0.1
27.5,72.5,0.01,-5.02E-01,0.1
27.5,77.5,0.01,-2.54E-01,0.1
27.5,82.5,0.01,-4.17E-01,0.1
27.5,87.5,0.01,-1.82E-01,0.1
27.5,92.5,0.01,-4.34E-01,0.1
27.5,97.5,0.01,-1.43E-01,0.1
27.5,102.5,0.01,6.73E-02,0.1
27.5,107.5,0.01,5.85E-02,0.1
27.5,112.5,0.01,8.52E-03,0.1
27.5,117.5,0.01,3.90E-02,0.1
32.5,-37.5,0.01,2.82E+00,0.1
32.5,-32.5,0.01,4.11E+00,0.1
32.5,-27.5,0.01,5.35E+00,0.1
32.5,-22.5,0.01,6.64E+00,0.1
32.5,-17.5,0.01,8.42E+00,0.1
32.5,-12.5,0.01,9.84E+00,0.1
32.5,-7.5,0.01,1.13E+01,0.1
32.5,-2.5,0.01,1.14E+01,0.1
32.5,2.5,0.01,1.15E+01,0.1
32.5,7.5,0.01,1.11E+01,0.1
32.5,12.5,0.01,9.86E+00,0.1
32.5,17.5,0.01,8.50E+00,0.1
32.5,22.5,0.01,6.84E+00,0.1
32.5,27.5,0.01,5.70E+00,0.1
32.5,32.5,0.01,3.65E+00,0.1
32.5,37.5,0.01,3.07E+00,0.1
32.5,42.5,0.01,2.04E+00,0.1
32.5,47.5,0.01,1.68E+00,0.1
32.5,52.5,0.01,1.22E+00,0.1
32.5,57.5,0.01,3.32E-01,0.1
32.5,62.5,0.01,4.87E-01,0.1
32.5,67.5,0.01,5.10E-01,0.1
32.5,72.5,0.01,9.88E-02,0.1
32.5,77.5,0.01,-4.93E-01,0.1
32.5,82.5,0.01,2.91E-01,0.1
32.5,87.5,0.01,-1.38E-01,0.1
32.5,92.5,0.01,-5.19E-01,0.1
32.5,97.5,0.01,1.22E-01,0.1
32.5,102.5,0.01,8.80E-02,0.1
32.5,107.5,0.01,-9.30E-02,0.1
32.5,112.5,0.01,-5.46E-01,0.1
32.5,117.5,0.01,2.16E-01,0.1
37.5,-37.5,0.01,3.10E+00,0.1
37.5,-32.5,0.01,3.88E+00,0.1
37.5,-27.5,0.01,4.50E+00,0.1
37.5,-22.5,0.01,5.69E+00,0.1
37.5,-17.5,0.01,7.26E+00,0.1
37.5,-12.5,0.01,8.55E+00,0.1
37.5,-7.5,0.01,9.01E+00,0.1
37.5,-2.5,0.01,9.87E+00,0.1
37.5,2.5,0.01,9.14E+00,0.1
37.5,7.5,0.01,9.27E+00,0.1
37.5,12.5,0.01,8.06E+00,0.1
37.5,17.5,0.01,7.44E+00,0.1
37.5,22.5,0.01,6.21E+00,0.1
37.5,27.5,0.01,4.76E+00,0.1
37.5,32.5,0.01,3.70E+00,0.1
37.5,37.5,0.01,2.80E+00,0.1
37.5,42.5,0.01,2.34E+00,0.1
37.5,47.5,0.01,1.14E+00,0.1
37.5,52.5,0.01,1.14E+00,0.1
37.5,57.5,0.01,9.51E-01,0.1
37.5,62.5,0.01,6.91E-02,0.1
37.5,67.5,0.01,1.26E-01,0.1
37.5,72.5,0.01,-2.38E-01,0.1
37.5,77.5,0.01,-1.57E-01,0.1
37.5,82.5,0.01,3.07E-01,0.1
37.5,87.5,0.01,2.22E-01,0.1
37.5,92.5,0.01,-4.49E-01,0.1
37.5,97.5,0.01,-4.01E-01,0.1
37.5,102.5,0.01,-6.96E-02,0.1
37.5,107.5,0.01,-2.45E-01,0.1
37.5,112.5,0.01,-5.05E-01,0.1
37.5,117.5,0.01,9.82E-02,0.1
42.5,-37.5,0.01,2.74E+00,0.1
42.5,-32.5,0.01,3.06E+00,0.1
42.5,-27.5,0.01,3.88E+00,0.1
42.5,-22.5,0.01,5.43E+00,0.1
42.5,-17.5,0.01,6.22E+00,0.1
42.5,-12.5,0.01,6.95E+00,0.1
42.5,-7.5,0.01,7.31E+00,0.1
42.5,-2.5,0.01,7.77E+00,0.1
42.5,2.5,0.01,8.09E+00,0.1
42.5,7.5,0.01,7.37E+00,0.1
42.5,12.5,0.01,6.77E+00,0.1
42.5,17.5,0.01,6.40E+00,0.1
42.5,22.5,0.01,5.47E+00,0.1
42.5,27.5,0.01,4.45E+00,0.1
42.5,32.5,0.01,3.64E+00,0.1
42.5,37.5,0.01,2.32E+00,0.1
42.5,42.5,0.01,2.02E+00,0.1
42.5,47.5,0.01,1.27E+00,0.1
42.5,52.5,0.01,6.66E-01,0.1
42.5,57.5,0.01,1.16E+00,0.1
42.5,62.5,0.01,5.73E-01,0.1
42.5,67.5,0.01,3.70E-01,0.1
42.5,72.5,0.01,-2.09E-01,0.1
42.5,77.5,0.01,3.46E-01,0.1
42.5,82.5,0.01,-3.50E-01,0.1
42.5,87.5,0.01,-3.58E-01,0.1
42.5,92.5,0.01,-2.64E-01,0.1
42.5,97.5,0.01,-5.32E-01,0.1
42.5,102.5,0.01,-1.25E-01,0.1
42.5,107.5,0.01,2.71E-01,0.1
42.5,112.5,0.01,-3.41E-01,0.1
42.5,117.5,0.01,-5.01E-01,0.1
47.5,-37.5,0.01,2.44E+00,0.1
47.5,-32.5,0.01,2.65E+00,0.1
47.5,-27.5,0.01,3.91E+00,0.1
47.5,-22.5,0.01,4.63E+00,0.1
47.5,-17.5,0.01,5.05E+00,0.1
47.5,-12.5,0.01,5.16E+00,0.1
47.5,-7.5,0.01,6.15E+00,0.1
47.5,-2.5,0.01,6.02E+00,0.1
47.5,2.5,0.01,6.28E+00,0.1
47.5,7.5,0.01,5.63E+00,0.1
47.5,12.5,0.01,5.77E+00,0.1
47.5,17.5,0.01,4.85E+00,0.1
47.5,22.5,0.01,4.71E+00,0.1
47.5,27.5,0.01,3.50E+00,0.1
47.5,32.5,0.01,2.86E+00,0.1
47.5,37.5,0.01,2.59E+00,0.1
47.5,42.5,0.01,1.55E+00,0.1
47.5,47.5,0.01,1.40E+00,0.1
47.5,52.5,0.01,1.04E+00,0.1
47.5,57.5,0.01,3.20E-01,0.1
47.5,62.5,0.01,9.44E-01,0.1
47.5,67.5,0.01,-3.14E-02,0.1
47.5,72.5,0.01,2.86E-01,0.1
47.5,77.5,0.01,7.91E-02,0.1
47.5,82.5,0.01,-1.16E-01,0.1
47.5,87.5,0.01,3.24E-02,0.1
47.5,92.5,0.01,6.34E-02,0.1
47.5,97.5,0.01,2.07E-02,0.1
47.5,102.5,0.01,-1.51E-01,0.1
47.5,107.5,0.01,3.57E-02,0.1
