x_m,y_m,z_dem,mg_aeroSGM_anomCT[nT],std_dev[nT]
368342.281,2531844,1678.55,-69.92,0.01
368342.281,2531944,1652.07,-69.977,0.01
368342.281,2532044,1624.29,-70.139,0.01
368342.281,2532144,1605.93,-70.301,0.01
368342.281,2532244,1604.43,-70.463,0.01
368342.281,2532344,1606.24,-70.625,0.01
368342.281,2532444,1607.23,-70.787,0.01
368342.281,2532544,1607.43,-70.949,0.01
368342.281,2532644,1608.63,-71.111,0.01
368342.281,2532744,1609.73,-71.274,0.01
368342.281,2532844,1622.31,-71.436,0.01
368342.281,2532944,1660.2,-71.598,0.01
368442.281,2531844,1682.61,-69.905,0.01
368442.281,2531944,1658.24,-69.961,0.01
368442.281,2532044,1628.06,-70.121,0.01
368442.281,2532144,1606.44,-70.281,0.01
368442.281,2532244,1604.56,-70.441,0.01
368442.281,2532344,1606.6,-70.601,0.01
368442.281,2532444,1608.44,-70.761,0.01
368442.281,2532544,1609.11,-70.921,0.01
368442.281,2532644,1611.67,-71.082,0.01
368442.281,2532744,1614.15,-71.242,0.01
368442.281,2532844,1626.34,-71.402,0.01
368442.281,2532944,1655.9,-71.562,0.01
368542.281,2531844,1687.14,-69.889,0.01
368542.281,2531944,1656.82,-69.946,0.01
368542.281,2532044,1626.1,-70.104,0.01
368542.281,2532144,1606.61,-70.262,0.01
368542.281,2532244,1604.25,-70.42,0.01
368542.281,2532344,1605.86,-70.578,0.01
368542.281,2532444,1609.05,-70.736,0.01
368542.281,2532544,1610.59,-70.894,0.01
368542.281,2532644,1613.78,-71.052,0.01
368542.281,2532744,1617.31,-71.21,0.01
368542.281,2532844,1626.28,-71.368,0.01
368542.281,2532944,1644.44,-71.526,0.01
368642.281,2531844,1694.72,-69.874,0.01
368642.281,2531944,1658.01,-69.93,0.01
368642.281,2532044,1625.64,-70.086,0.01
368642.281,2532144,1609.93,-70.242,0.01
368642.281,2532244,1606.71,-70.398,0.01
368642.281,2532344,1605.76,-70.554,0.01
368642.281,2532444,1608.05,-70.71,0.01
368642.281,2532544,1610.1,-70.866,0.01
368642.281,2532644,1615.27,-71.022,0.01
368642.281,2532744,1622.91,-71.178,0.01
368642.281,2532844,1629.3,-71.334,0.01
368642.281,2532944,1637.84,-71.49,0.01
368742.281,2531844,1700.99,-69.864,0.01
368742.281,2531944,1666.43,-69.92,0.01
368742.281,2532044,1631.14,-70.073,0.01
368742.281,2532144,1615.73,-70.226,0.01
368742.281,2532244,1612.19,-70.379,0.01
368742.281,2532344,1609.62,-70.532,0.01
368742.281,2532444,1609.42,-70.685,0.01
368742.281,2532544,1614.71,-70.838,0.01
368742.281,2532644,1626.99,-70.991,0.01
368742.281,2532744,1639.74,-71.144,0.01
368742.281,2532844,1643.84,-71.298,0.01
368742.281,2532944,1647.19,-71.451,0.01
368842.281,2531844,1694.5,-69.865,0.01
368842.281,2531944,1673.21,-69.921,0.01
368842.281,2532044,1639.95,-70.069,0.01
368842.281,2532144,1622.75,-70.217,0.01
368842.281,2532244,1619.51,-70.365,0.01
368842.281,2532344,1618.96,-70.513,0.01
368842.281,2532444,1623.82,-70.661,0.01
368842.281,2532544,1637.03,-70.81,0.01
368842.281,2532644,1652.92,-70.958,0.01
368842.281,2532744,1659.39,-71.107,0.01
368842.281,2532844,1657.01,-71.256,0.01
368842.281,2532944,1656.46,-71.404,0.01
368942.281,2531844,1680.21,-69.867,0.01
368942.281,2531944,1668.94,-69.921,0.01
368942.281,2532044,1645.19,-70.064,0.01
368942.281,2532144,1631.37,-70.207,0.01
368942.281,2532244,1632.67,-70.351,0.01
368942.281,2532344,1641.05,-70.494,0.01
368942.281,2532444,1651.33,-70.638,0.01
368942.281,2532544,1659.07,-70.782,0.01
368942.281,2532644,1662.51,-70.926,0.01
368942.281,2532744,1662.68,-71.069,0.01
368942.281,2532844,1659.87,-71.213,0.01
368942.281,2532944,1658.84,-71.357,0.01
369042.281,2531844,1672.51,-69.868,0.01
369042.281,2531944,1665.85,-69.921,0.01
369042.281,2532044,1650.46,-70.06,0.01
369042.281,2532144,1639.65,-70.198,0.01
369042.281,2532244,1640.63,-70.337,0.01
369042.281,2532344,1646.27,-70.476,0.01
369042.281,2532444,1650.19,-70.615,0.01
369042.281,2532544,1653.45,-70.754,0.01
369042.281,2532644,1655.39,-70.893,0.01
369042.281,2532744,1655.41,-71.032,0.01
369042.281,2532844,1654.69,-71.171,0.01
369042.281,2532944,1655.39,-71.31,0.01
