x,y,z,aCB_mGal,std_dev
277538,-331696,0.01,5.84331437,0.1
277538,-325196,0.01,4.667480024,0.1
277538,-318696,0.01,5.872001496,0.1
277538,-312196,0.01,6.253425782,0.1
277538,-305696,0.01,5.560851289,0.1
277538,-299196,0.01,4.434911685,0.1
277538,-292696,0.01,4.040810637,0.1
277538,-286196,0.01,2.737380547,0.1
277538,-279696,0.01,-0.506979111,0.1
277538,-273196,0.01,-1.876830668,0.1
277538,-266696,0.01,-3.553092261,0.1
277538,-260196,0.01,-6.177577135,0.1
277538,-253696,0.01,-7.435091623,0.1
277538,-247196,0.01,-8.069485111,0.1
277538,-240696,0.01,-9.752307696,0.1
277538,-234196,0.01,-10.19155701,0.1
277538,-227696,0.01,-8.990460677,0.1
277538,-221196,0.01,-7.708070397,0.1
277538,-214696,0.01,-6.567677293,0.1
277538,-208196,0.01,-6.759740051,0.1
277538,-201696,0.01,-7.885161199,0.1
277538,-195196,0.01,-11.22163253,0.1
277538,-188696,0.01,-15.91990131,0.1
277538,-182196,0.01,-16.17794448,0.1
277538,-175696,0.01,-12.40259549,0.1
277538,-169196,0.01,-7.942253714,0.1
277538,-162696,0.01,-7.126415726,0.1
277538,-156196,0.01,-4.392067913,0.1
277538,-149696,0.01,-1.796548069,0.1
277538,-143196,0.01,-1.371655253,0.1
277538,-136696,0.01,1.361686341,0.1
277538,-130196,0.01,-1.672632835,0.1
277538,-123696,0.01,-1.530074706,0.1
277538,-117196,0.01,0.867606581,0.1
284038,-331696,0.01,6.52130797,0.1
284038,-325196,0.01,6.1767564,0.1
284038,-318696,0.01,4.468683952,0.1
284038,-312196,0.01,4.687977311,0.1
284038,-305696,0.01,3.434862414,0.1
284038,-299196,0.01,3.026847872,0.1
284038,-292696,0.01,4.765812088,0.1
284038,-286196,0.01,5.372609965,0.1
284038,-279696,0.01,1.604595273,0.1
284038,-273196,0.01,-2.587288879,0.1
284038,-266696,0.01,-3.091141479,0.1
284038,-260196,0.01,-4.976620266,0.1
284038,-253696,0.01,-6.243308989,0.1
284038,-247196,0.01,-8.399612688,0.1
284038,-240696,0.01,-10.94929462,0.1
