x,y,z,aCB_mGal,std_dev
630729,312147,0.01,8.318027387,0.1
630729,318647,0.01,6.683865245,0.1
630729,325147,0.01,3.610585604,0.1
637229,110647,0.01,-8.070182663,0.1
637229,117147,0.01,-9.655172493,0.1
637229,123647,0.01,-10.42606575,0.1
637229,130147,0.01,-9.571072793,0.1
637229,136647,0.01,-9.789050341,0.1
637229,143147,0.01,-11.93122095,0.1
637229,149647,0.01,-12.93190392,0.1
637229,156147,0.01,-13.49234774,0.1
637229,162647,0.01,-14.74577767,0.1
637229,169147,0.01,-15.56543798,0.1
637229,175647,0.01,-16.12503972,0.1
637229,182147,0.01,-15.47857932,0.1
637229,188647,0.01,-14.68280802,0.1
637229,195147,0.01,-14.33707126,0.1
637229,201647,0.01,-13.15474881,0.1
637229,208147,0.01,-13.03531549,0.1
637229,214647,0.01,-12.83273639,0.1
637229,221147,0.01,-13.63481968,0.1
637229,227647,0.01,-16.54311721,0.1
637229,234147,0.01,-16.14711353,0.1
637229,240647,0.01,-12.35651895,0.1
637229,247147,0.01,-10.49810098,0.1
637229,253647,0.01,-8.178430202,0.1
637229,260147,0.01,-5.398867328,0.1
637229,266647,0.01,-3.051498538,0.1
637229,273147,0.01,1.297679529,0.1
637229,279647,0.01,4.432464943,0.1
637229,286147,0.01,3.143364497,0.1
637229,292647,0.01,3.459923747,0.1
637229,299147,0.01,7.143006392,0.1
637229,305647,0.01,9.033388471,0.1
637229,312147,0.01,9.574275637,0.1
637229,318647,0.01,8.629154615,0.1
637229,325147,0.01,5.529758838,0.1
643729,110647,0.01,-4.267580725,0.1
643729,117147,0.01,-6.379204217,0.1
643729,123647,0.01,-9.210989609,0.1
643729,130147,0.01,-8.833204558,0.1
643729,136647,0.01,-8.957642581,0.1
643729,143147,0.01,-11.48618156,0.1
643729,149647,0.01,-12.26468507,0.1
643729,156147,0.01,-12.16383049,0.1
643729,162647,0.01,-13.25268158,0.1
643729,169147,0.01,-14.0711999,0.1
643729,175647,0.01,-15.17583567,0.1
643729,182147,0.01,-13.44276514,0.1
643729,188647,0.01,-14.24831333,0.1
643729,195147,0.01,-15.91971971,0.1
643729,201647,0.01,-13.71117462,0.1
643729,208147,0.01,-12.11311775,0.1
643729,214647,0.01,-13.07966956,0.1
643729,221147,0.01,-15.37328753,0.1
643729,227647,0.01,-18.76721967,0.1
643729,234147,0.01,-19.28041211,0.1
643729,240647,0.01,-16.47498288,0.1
643729,247147,0.01,-12.85785781,0.1
643729,253647,0.01,-7.905658744,0.1
643729,260147,0.01,-3.334817186,0.1
643729,266647,0.01,-0.433625339,0.1
643729,273147,0.01,3.290328993,0.1
643729,279647,0.01,6.242134808,0.1
643729,286147,0.01,5.883311313,0.1
643729,292647,0.01,5.545534792,0.1
643729,299147,0.01,5.933086613,0.1
643729,305647,0.01,5.862816513,0.1
643729,312147,0.01,6.974450696,0.1
643729,318647,0.01,7.167056925,0.1
643729,325147,0.01,4.499953961,0.1
650229,110647,0.01,-2.351455176,0.1
650229,117147,0.01,-4.022705325,0.1
650229,123647,0.01,-6.79686825,0.1
650229,130147,0.01,-7.100784588,0.1
650229,136647,0.01,-8.277006925,0.1
650229,143147,0.01,-10.31397342,0.1
650229,149647,0.01,-10.95608227,0.1
650229,156147,0.01,-11.57932693,0.1
650229,162647,0.01,-12.73590729,0.1
650229,169147,0.01,-14.75709987,0.1
650229,175647,0.01,-16.19388665,0.1
650229,182147,0.01,-13.82824238,0.1
650229,188647,0.01,-13.43058202,0.1
650229,195147,0.01,-14.80192234,0.1
650229,201647,0.01,-14.74813054,0.1
650229,208147,0.01,-15.87066966,0.1
650229,214647,0.01,-17.96851949,0.1
650229,221147,0.01,-18.15816525,0.1
650229,227647,0.01,-18.78405089,0.1
650229,234147,0.01,-19.66122761,0.1
650229,240647,0.01,-17.55093106,0.1
650229,247147,0.01,-12.14882317,0.1
650229,253647,0.01,-6.982413348,0.1
650229,260147,0.01,-2.873766732,0.1
650229,266647,0.01,-0.475224655,0.1
650229,273147,0.01,2.197337339,0.1
650229,279647,0.01,5.430700095,0.1
650229,286147,0.01,7.870221488,0.1
650229,292647,0.01,9.109012953,0.1
650229,299147,0.01,7.744716555,0.1
650229,305647,0.01,5.877593393,0.1
650229,312147,0.01,5.906727046,0.1
650229,318647,0.01,5.457788881,0.1
650229,325147,0.01,3.157801469,0.1
656729,110647,0.01,-1.703347824,0.1
656729,117147,0.01,-3.073356706,0.1
656729,123647,0.01,-4.963370737,0.1
656729,130147,0.01,-6.278880803,0.1
656729,136647,0.01,-8.282155089,0.1
656729,143147,0.01,-9.246078316,0.1
656729,149647,0.01,-9.901059687,0.1
656729,156147,0.01,-11.84043229,0.1
656729,162647,0.01,-13.0583647,0.1
656729,169147,0.01,-15.33238064,0.1
656729,175647,0.01,-16.31507756,0.1
656729,182147,0.01,-15.22296796,0.1
656729,188647,0.01,-14.88057188,0.1
656729,195147,0.01,-15.41841786,0.1
656729,201647,0.01,-16.47782844,0.1
656729,208147,0.01,-19.30939126,0.1
656729,214647,0.01,-21.88584594,0.1
656729,221147,0.01,-21.8668644,0.1
656729,227647,0.01,-21.2207616,0.1
656729,234147,0.01,-19.78320336,0.1
656729,240647,0.01,-15.4770429,0.1
656729,247147,0.01,-9.82780963,0.1
656729,253647,0.01,-7.061335679,0.1
656729,260147,0.01,-5.950046653,0.1
656729,266647,0.01,-4.118215241,0.1
656729,273147,0.01,-1.062881415,0.1
656729,279647,0.01,1.907378703,0.1
656729,286147,0.01,4.394339827,0.1
656729,292647,0.01,6.144319405,0.1
656729,299147,0.01,6.654128775,0.1
656729,305647,0.01,6.753768055,0.1
656729,312147,0.01,7.507440309,0.1
656729,318647,0.01,6.171974862,0.1
656729,325147,0.01,4.535171636,0.1
663229,110647,0.01,-1.236286546,0.1
663229,117147,0.01,-1.435816836,0.1
663229,123647,0.01,-2.727110427,0.1
663229,130147,0.01,-4.613760622,0.1
663229,136647,0.01,-6.952255198,0.1
663229,143147,0.01,-8.899126783,0.1
663229,149647,0.01,-11.73897393,0.1
663229,156147,0.01,-13.77772554,0.1
663229,162647,0.01,-12.51062834,0.1
663229,169147,0.01,-12.58185412,0.1
663229,175647,0.01,-14.05426559,0.1
663229,182147,0.01,-15.7481064,0.1
663229,188647,0.01,-17.75735987,0.1
663229,195147,0.01,-18.49235391,0.1
663229,201647,0.01,-18.24269304,0.1
663229,208147,0.01,-18.86903837,0.1
663229,214647,0.01,-21.25440483,0.1
663229,221147,0.01,-23.30430397,0.1
663229,227647,0.01,-23.10306691,0.1
663229,234147,0.01,-20.30157176,0.1
663229,240647,0.01,-14.58786938,0.1
663229,247147,0.01,-10.14181693,0.1
663229,253647,0.01,-9.114251774,0.1
663229,260147,0.01,-8.01345016,0.1
663229,266647,0.01,-5.591227419,0.1
663229,273147,0.01,-1.408117152,0.1
663229,279647,0.01,1.070363145,0.1
663229,286147,0.01,2.177412187,0.1
663229,292647,0.01,2.373031663,0.1
663229,299147,0.01,2.680711588,0.1
663229,305647,0.01,4.494676228,0.1
663229,312147,0.01,6.718977837,0.1
663229,318647,0.01,6.338384933,0.1
663229,325147,0.01,6.09833492,0.1
669729,110647,0.01,2.089797733,0.1
669729,117147,0.01,3.152748589,0.1
669729,123647,0.01,1.160580949,0.1
669729,130147,0.01,-2.389239423,0.1
