x,y,z,aCT_REM_nT,std_dev
611229,110647,0.01,-4.243530423,0.1
611229,117147,0.01,-4.828154835,0.1
611229,123647,0.01,-4.103331957,0.1
611229,130147,0.01,0.523714279,0.1
611229,136647,0.01,5.013973541,0.1
611229,143147,0.01,9.861399529,0.1
611229,149647,0.01,14.4430813,0.1
611229,156147,0.01,19.55492552,0.1
611229,162647,0.01,24.02891692,0.1
611229,169147,0.01,26.92172586,0.1
611229,175647,0.01,27.09240478,0.1
611229,182147,0.01,26.53579767,0.1
611229,188647,0.01,25.33101334,0.1
611229,195147,0.01,21.753692,0.1
611229,201647,0.01,16.56421418,0.1
611229,208147,0.01,8.116963966,0.1
611229,214647,0.01,-2.926451471,0.1
611229,221147,0.01,-10.88458422,0.1
611229,227647,0.01,-12.40068242,0.1
611229,234147,0.01,-10.33672484,0.1
611229,240647,0.01,-7.474600806,0.1
611229,247147,0.01,-4.835146269,0.1
611229,253647,0.01,-0.680774135,0.1
611229,260147,0.01,3.466232085,0.1
611229,266647,0.01,7.364563435,0.1
611229,273147,0.01,10.28812603,0.1
611229,279647,0.01,13.12051489,0.1
611229,286147,0.01,15.63611899,0.1
611229,292647,0.01,15.61875193,0.1
611229,299147,0.01,13.39067763,0.1
611229,305647,0.01,9.415478487,0.1
611229,312147,0.01,3.218719184,0.1
611229,318647,0.01,-6.782585695,0.1
611229,325147,0.01,-19.22865947,0.1
617729,110647,0.01,-0.147274454,0.1
617729,117147,0.01,-0.017879834,0.1
617729,123647,0.01,1.894276161,0.1
617729,130147,0.01,5.844646985,0.1
617729,136647,0.01,9.776938861,0.1
617729,143147,0.01,13.67195956,0.1
617729,149647,0.01,17.13165085,0.1
617729,156147,0.01,20.45454966,0.1
617729,162647,0.01,23.55438587,0.1
617729,169147,0.01,24.97489777,0.1
617729,175647,0.01,23.75218677,0.1
617729,182147,0.01,22.75174766,0.1
617729,188647,0.01,21.90053056,0.1
617729,195147,0.01,18.75882857,0.1
617729,201647,0.01,13.60778833,0.1
617729,208147,0.01,5.210626875,0.1
617729,214647,0.01,-4.831099774,0.1
617729,221147,0.01,-11.70266498,0.1
617729,227647,0.01,-13.640416,0.1
617729,234147,0.01,-11.6753065,0.1
617729,240647,0.01,-7.890311368,0.1
617729,247147,0.01,-4.705065321,0.1
617729,253647,0.01,-0.723170311,0.1
617729,260147,0.01,2.95931895,0.1
617729,266647,0.01,6.927508701,0.1
617729,273147,0.01,10.11013937,0.1
617729,279647,0.01,12.29361087,0.1
617729,286147,0.01,13.68796281,0.1
617729,292647,0.01,12.95711119,0.1
617729,299147,0.01,9.961611815,0.1
617729,305647,0.01,5.214316829,0.1
617729,312147,0.01,-1.342125323,0.1
617729,318647,0.01,-9.775047819,0.1
617729,325147,0.01,-19.14683805,0.1
624229,110647,0.01,5.212015788,0.1
624229,117147,0.01,5.628347785,0.1
624229,123647,0.01,7.756253269,0.1
624229,130147,0.01,10.86735849,0.1
624229,136647,0.01,14.12373092,0.1
624229,143147,0.01,17.14951497,0.1
624229,149647,0.01,19.86135399,0.1
624229,156147,0.01,22.48210301,0.1
624229,162647,0.01,23.36841434,0.1
624229,169147,0.01,22.6317717,0.1
624229,175647,0.01,19.47757738,0.1
624229,182147,0.01,17.48702622,0.1
624229,188647,0.01,17.01087534,0.1
624229,195147,0.01,15.26885318,0.1
624229,201647,0.01,11.14796396,0.1
624229,208147,0.01,3.502955526,0.1
624229,214647,0.01,-5.542518533,0.1
624229,221147,0.01,-11.56146198,0.1
624229,227647,0.01,-13.1081194,0.1
624229,234147,0.01,-11.33581201,0.1
624229,240647,0.01,-7.707567194,0.1
624229,247147,0.01,-4.264563969,0.1
624229,253647,0.01,-0.540272691,0.1
624229,260147,0.01,2.154916521,0.1
624229,266647,0.01,5.223466302,0.1
624229,273147,0.01,8.084772285,0.1
624229,279647,0.01,9.451499095,0.1
624229,286147,0.01,10.12118904,0.1
624229,292647,0.01,8.884674867,0.1
624229,299147,0.01,5.684727018,0.1
624229,305647,0.01,1.009315721,0.1
624229,312147,0.01,-4.705538301,0.1
624229,318647,0.01,-11.44097904,0.1
624229,325147,0.01,-18.49464494,0.1
630729,110647,0.01,10.95903094,0.1
630729,117147,0.01,11.21925965,0.1
630729,123647,0.01,13.27156694,0.1
630729,130147,0.01,16.02357621,0.1
630729,136647,0.01,18.52667451,0.1
630729,143147,0.01,20.92208477,0.1
630729,149647,0.01,22.78565944,0.1
630729,156147,0.01,24.79286506,0.1
630729,162647,0.01,24.10384926,0.1
630729,169147,0.01,21.28133091,0.1
630729,175647,0.01,15.18969707,0.1
630729,182147,0.01,10.82934407,0.1
630729,188647,0.01,11.02318756,0.1
630729,195147,0.01,11.98860003,0.1
630729,201647,0.01,9.233768749,0.1
630729,208147,0.01,2.256460385,0.1
630729,214647,0.01,-5.698451253,0.1
630729,221147,0.01,-10.84451648,0.1
630729,227647,0.01,-12.08698897,0.1
630729,234147,0.01,-10.43262366,0.1
630729,240647,0.01,-7.372893974,0.1
630729,247147,0.01,-4.111873214,0.1
630729,253647,0.01,-0.9558493,0.1
630729,260147,0.01,0.620822285,0.1
630729,266647,0.01,2.68035451,0.1
630729,273147,0.01,4.840411477,0.1
630729,279647,0.01,5.705509012,0.1
630729,286147,0.01,5.665495479,0.1
630729,292647,0.01,4.518169786,0.1
630729,299147,0.01,1.972267371,0.1
630729,305647,0.01,-1.616171794,0.1
630729,312147,0.01,-6.475557972,0.1
630729,318647,0.01,-11.98868074,0.1
630729,325147,0.01,-17.57529116,0.1
637229,110647,0.01,17.23126213,0.1
637229,117147,0.01,17.20038304,0.1
637229,123647,0.01,18.71920185,0.1
637229,130147,0.01,20.71428618,0.1
637229,136647,0.01,22.69575728,0.1
637229,143147,0.01,24.2836266,0.1
637229,149647,0.01,25.63766721,0.1
637229,156147,0.01,26.99691202,0.1
637229,162647,0.01,25.78618374,0.1
637229,169147,0.01,21.94144,0.1
637229,175647,0.01,12.86575256,0.1
637229,182147,0.01,5.393831508,0.1
637229,188647,0.01,5.576885512,0.1
637229,195147,0.01,8.43670817,0.1
637229,201647,0.01,6.83399741,0.1
637229,208147,0.01,0.764062116,0.1
637229,214647,0.01,-5.693224003,0.1
637229,221147,0.01,-9.912830462,0.1
637229,227647,0.01,-11.55167607,0.1
637229,234147,0.01,-10.47795715,0.1
637229,240647,0.01,-7.982937345,0.1
637229,247147,0.01,-5.250973955,0.1
637229,253647,0.01,-2.556675861,0.1
637229,260147,0.01,-1.580286644,0.1
637229,266647,0.01,-0.009581952,0.1
637229,273147,0.01,1.588191452,0.1
637229,279647,0.01,1.752461797,0.1
637229,286147,0.01,1.322241399,0.1
637229,292647,0.01,0.938038042,0.1
637229,299147,0.01,-0.19177474,0.1
637229,305647,0.01,-2.433868944,0.1
637229,312147,0.01,-6.650464079,0.1
637229,318647,0.01,-11.52869383,0.1
637229,325147,0.01,-16.03030173,0.1
643729,110647,0.01,23.89742738,0.1
643729,117147,0.01,23.3902087,0.1
643729,123647,0.01,23.90842969,0.1
643729,130147,0.01,24.7121513,0.1
643729,136647,0.01,25.40603551,0.1
643729,143147,0.01,26.35773628,0.1
643729,149647,0.01,27.51999638,0.1
643729,156147,0.01,28.3654964,0.1
643729,162647,0.01,26.73315941,0.1
643729,169147,0.01,23.28849588,0.1
643729,175647,0.01,13.3189603,0.1
643729,182147,0.01,4.018527575,0.1
643729,188647,0.01,3.608107567,0.1
643729,195147,0.01,5.277990457,0.1
643729,201647,0.01,4.265423316,0.1
643729,208147,0.01,-0.279372713,0.1
643729,214647,0.01,-5.851868287,0.1
643729,221147,0.01,-9.766340185,0.1
643729,227647,0.01,-11.81885103,0.1
643729,234147,0.01,-11.65157168,0.1
643729,240647,0.01,-10.20758119,0.1
643729,247147,0.01,-8.473932189,0.1
643729,253647,0.01,-5.736342093,0.1
643729,260147,0.01,-4.045372944,0.1
643729,266647,0.01,-2.351723345,0.1
643729,273147,0.01,-1.376551175,0.1
643729,279647,0.01,-2.070287273,0.1
643729,286147,0.01,-2.212683834,0.1
643729,292647,0.01,-1.172002342,0.1
643729,299147,0.01,-0.43358644,0.1
643729,305647,0.01,-1.250591282,0.1
643729,312147,0.01,-5.224124947,0.1
643729,318647,0.01,-10.10384292,0.1
643729,325147,0.01,-14.59320731,0.1
650229,110647,0.01,29.72002255,0.1
650229,117147,0.01,29.1846543,0.1
650229,123647,0.01,27.97837079,0.1
650229,130147,0.01,27.46761413,0.1
650229,136647,0.01,27.13298519,0.1
650229,143147,0.01,27.20111042,0.1
650229,149647,0.01,28.24904225,0.1
650229,156147,0.01,28.45306299,0.1
650229,162647,0.01,25.98713212,0.1
650229,169147,0.01,22.4759595,0.1
650229,175647,0.01,14.11147313,0.1
650229,182147,0.01,6.815613188,0.1
650229,188647,0.01,5.16899948,0.1
650229,195147,0.01,4.765608976,0.1
650229,201647,0.01,3.277008782,0.1
650229,208147,0.01,-0.619054231,0.1
650229,214647,0.01,-5.607087771,0.1
650229,221147,0.01,-9.920436452,0.1
650229,227647,0.01,-12.90784569,0.1
650229,234147,0.01,-14.0920638,0.1
650229,240647,0.01,-13.96482845,0.1
650229,247147,0.01,-13.11280838,0.1
650229,253647,0.01,-9.873942577,0.1
650229,260147,0.01,-7.04343416,0.1
650229,266647,0.01,-4.65999489,0.1
650229,273147,0.01,-4.274301718,0.1
650229,279647,0.01,-5.600104452,0.1
650229,286147,0.01,-5.119024592,0.1
650229,292647,0.01,-2.055238096,0.1
650229,299147,0.01,1.291073394,0.1
650229,305647,0.01,1.506137961,0.1
650229,312147,0.01,-2.491644423,0.1
650229,318647,0.01,-8.282661298,0.1
650229,325147,0.01,-12.95432041,0.1
656729,110647,0.01,33.89749162,0.1
656729,117147,0.01,33.55121425,0.1
656729,123647,0.01,31.79363194,0.1
656729,130147,0.01,29.3468934,0.1
656729,136647,0.01,27.12175079,0.1
656729,143147,0.01,25.61251936,0.1
656729,149647,0.01,26.80476538,0.1
656729,156147,0.01,27.07528976,0.1
656729,162647,0.01,24.64369823,0.1
656729,169147,0.01,21.46999515,0.1
656729,175647,0.01,15.43800361,0.1
656729,182147,0.01,10.33991039,0.1
656729,188647,0.01,8.183881183,0.1
656729,195147,0.01,6.437523585,0.1
656729,201647,0.01,4.337523063,0.1
656729,208147,0.01,0.716612643,0.1
656729,214647,0.01,-4.297282458,0.1
656729,221147,0.01,-9.502799483,0.1
656729,227647,0.01,-13.91696348,0.1
656729,234147,0.01,-16.83240593,0.1
656729,240647,0.01,-18.52211758,0.1
656729,247147,0.01,-17.83103877,0.1
656729,253647,0.01,-14.1379091,0.1
656729,260147,0.01,-10.32053862,0.1
656729,266647,0.01,-7.1037523,0.1
656729,273147,0.01,-7.211253226,0.1
656729,279647,0.01,-8.458092138,0.1
656729,286147,0.01,-7.11829989,0.1
